model,threshold,holding_period,uncertainty_model,uncertainty_quantile,max_uncertainty,uncertainty_side,trade_count,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
arima,0.0,1,,,,,1174,0.6805797101449276,0.5988074957410562,0.0017180784600511075,0.0017180784600511075,2.0170241121,5.369974324789442,5.369974324789442
arima,0.0025,1,,,,,193,0.11188405797101449,0.5803108808290155,0.002687599448704664,0.002687599448704664,0.5187066936000001,1.5658354976571953,1.5658354976571953
arima,0.005,1,,,,,25,0.014492753623188406,0.56,0.005676858664000001,0.005676858664000001,0.14192146660000002,1.142786423723906,1.142786423723906
arima,0.01,1,,,,,1,0.0005797101449275362,1.0,0.0,0.0,0.0,1.0,1.0
arima,0.015,1,,,,,0,0.0,,,,0.0,1.0,1.0
arima,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
linear_regression,0.0,1,,,,,989,0.5733333333333334,0.5915065722952477,0.0011737834779575328,0.0011737834779575328,1.1608718596999998,2.3469675590963646,2.3469675590963646
linear_regression,0.0025,1,,,,,689,0.39942028985507244,0.5863570391872278,0.001442263972714078,0.001442263972714078,0.9937198771999998,2.1625573965432756,2.1625573965432756
linear_regression,0.005,1,,,,,427,0.24753623188405796,0.5807962529274004,0.0024659450996721306,0.0024659450996721306,1.0529585575599998,2.5108621525982597,2.5108621525982597
linear_regression,0.01,1,,,,,95,0.05507246376811594,0.5473684210526316,0.002364121244842105,0.002364121244842105,0.22459151826,1.2139422261512225,1.2139422261512225
linear_regression,0.015,1,,,,,16,0.00927536231884058,0.5625,-0.00366574801875,-0.00366574801875,-0.0586519683,0.9412826199298006,0.9412826199298006
linear_regression,0.02,1,,,,,3,0.0017391304347826088,0.6666666666666666,-0.000515739,-0.000515739,-0.001547217,0.9983617732273942,0.9983617732273942
lstm,0.0,1,,,,,930,0.5391304347826087,0.6010752688172043,0.0022795379564086024,0.0022795379564086024,2.1199702994600003,6.034583687800491,6.034583687800491
lstm,0.0025,1,,,,,393,0.22782608695652173,0.5877862595419847,0.003255343445038168,0.003255343445038168,1.2793499739,3.0316319249303696,3.0316319249303696
lstm,0.005,1,,,,,194,0.11246376811594203,0.6391752577319587,0.007156784973195878,0.007156784973195878,1.3884162848000003,3.6336195456758613,3.6336195456758613
lstm,0.01,1,,,,,46,0.02666666666666667,0.6521739130434783,0.008092703119565219,0.008092703119565219,0.37226434350000004,1.4246078842623116,1.4246078842623116
lstm,0.015,1,,,,,4,0.002318840579710145,1.0,0.015832936,0.015832936,0.063331744,1.0646258599392866,1.0646258599392866
lstm,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.0,1,,,,,930,0.5391304347826087,0.6010752688172043,0.0022795379564086024,0.0022795379564086024,2.1199702994600003,6.034583687800491,6.034583687800491
lstm_best_by_val,0.0025,1,,,,,393,0.22782608695652173,0.5877862595419847,0.003255343445038168,0.003255343445038168,1.2793499739,3.0316319249303696,3.0316319249303696
lstm_best_by_val,0.005,1,,,,,194,0.11246376811594203,0.6391752577319587,0.007156784973195878,0.007156784973195878,1.3884162848000003,3.6336195456758613,3.6336195456758613
lstm_best_by_val,0.01,1,,,,,46,0.02666666666666667,0.6521739130434783,0.008092703119565219,0.008092703119565219,0.37226434350000004,1.4246078842623116,1.4246078842623116
lstm_best_by_val,0.015,1,,,,,4,0.002318840579710145,1.0,0.015832936,0.015832936,0.063331744,1.0646258599392866,1.0646258599392866
lstm_best_by_val,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_ensemble,0.0,1,,,,,797,0.46202898550724636,0.6047678795483061,0.0017928462771141785,0.0017928462771141785,1.4288984828600002,3.059460143959134,3.059460143959134
lstm_ensemble,0.0025,1,,,,,200,0.11594202898550725,0.62,0.005224978754500001,0.005224978754500001,1.0449957509,2.5770067860434938,2.5770067860434938
lstm_ensemble,0.005,1,,,,,76,0.044057971014492756,0.631578947368421,0.0055397116934210525,0.0055397116934210525,0.42101808869999996,1.46373442405486,1.46373442405486
lstm_ensemble,0.01,1,,,,,5,0.002898550724637681,0.8,0.01911668148,0.01911668148,0.0955834074,1.0959363617973177,1.0959363617973177
lstm_ensemble,0.015,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_ensemble,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_seed_42,0.0,1,,,,,930,0.5391304347826087,0.6010752688172043,0.0022795379564086024,0.0022795379564086024,2.1199702994600003,6.034583687800491,6.034583687800491
lstm_seed_42,0.0025,1,,,,,393,0.22782608695652173,0.5877862595419847,0.003255343445038168,0.003255343445038168,1.2793499739,3.0316319249303696,3.0316319249303696
lstm_seed_42,0.005,1,,,,,194,0.11246376811594203,0.6391752577319587,0.007156784973195878,0.007156784973195878,1.3884162848000003,3.6336195456758613,3.6336195456758613
lstm_seed_42,0.01,1,,,,,46,0.02666666666666667,0.6521739130434783,0.008092703119565219,0.008092703119565219,0.37226434350000004,1.4246078842623116,1.4246078842623116
lstm_seed_42,0.015,1,,,,,4,0.002318840579710145,1.0,0.015832936,0.015832936,0.063331744,1.0646258599392866,1.0646258599392866
lstm_seed_42,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_seed_52,0.0,1,,,,,557,0.3228985507246377,0.5798922800718133,0.0013268115832315982,0.0013268115832315982,0.7390340518600003,1.6283539321338028,1.6283539321338028
lstm_seed_52,0.0025,1,,,,,193,0.11188405797101449,0.5751295336787565,0.0015408710953367872,0.0015408710953367872,0.2973881213999999,1.2268355450475874,1.2268355450475874
lstm_seed_52,0.005,1,,,,,68,0.03942028985507246,0.5882352941176471,-0.0001898644264705886,-0.0001898644264705886,-0.012910781000000024,0.9516546772068984,0.9516546772068984
lstm_seed_52,0.01,1,,,,,9,0.0052173913043478265,0.5555555555555556,0.00613254288888889,0.00613254288888889,0.05519288600000001,1.0519198968597065,1.0519198968597065
lstm_seed_52,0.015,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_seed_52,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_seed_62,0.0,1,,,,,892,0.5171014492753623,0.6154708520179372,0.0007804076565695067,0.0007804076565695067,0.69612362966,1.4945163611868857,1.4945163611868857
lstm_seed_62,0.0025,1,,,,,231,0.13391304347826086,0.5974025974025974,0.0020574326181818183,0.0020574326181818183,0.47526693480000004,1.4358582629635395,1.4358582629635395
lstm_seed_62,0.005,1,,,,,106,0.06144927536231884,0.6415094339622641,0.004071352424528303,0.004071352424528303,0.43156335700000004,1.4525280573668493,1.4525280573668493
lstm_seed_62,0.01,1,,,,,20,0.011594202898550725,0.7,0.005019242920000001,0.005019242920000001,0.10038485840000001,1.0891505612326626,1.0891505612326626
lstm_seed_62,0.015,1,,,,,4,0.002318840579710145,0.75,0.0200964681,0.0200964681,0.0803858724,1.0795301643411868,1.0795301643411868
lstm_seed_62,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_signmag,0.0,1,,,,,957,0.5547826086956522,0.5820271682340648,0.0007722063919958202,0.0007722063919958202,0.73900151714,1.4411322343531299,1.4411322343531299
lstm_signmag,0.0025,1,,,,,225,0.13043478260869565,0.5644444444444444,0.0005224687788444447,0.0005224687788444447,0.11755547524000004,1.0134744318504731,1.0134744318504731
lstm_signmag,0.005,1,,,,,81,0.04695652173913043,0.6049382716049383,0.004918481080246913,0.004918481080246913,0.3983969675,1.4475359436865078,1.4475359436865078
lstm_signmag,0.01,1,,,,,9,0.0052173913043478265,1.0,0.017106926555555554,0.017106926555555554,0.153962339,1.1634164151527036,1.1634164151527036
lstm_signmag,0.015,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_signmag,0.02,1,,,,,0,0.0,,,,0.0,1.0,1.0
lstm_signmag_best_by_val,0.0,1,,,,,111,0.06434782608695652,0.6036036036036037,0.004338584423423423,0.004338584423423423,0.48158287099999997,1.5202995762370513,1.5202995762370513
