mode,seeds,policies,rel_score_mean,rel_score_std,q90_abs_error_mean,daily_q90_median_mean,daily_q90_p90_mean,daily_q90_max_mean,days_ge_3p5_mean,days_ge_5_mean,days_ge_7_mean,days_ge_8_mean,prediction_abs_q90_mean,actual_abs_q90_mean
alpha_only_no_market,3,alpha_only_no_market,0.025743960745324996,0.003556148928361966,0.048554136732666654,0.037087396724666676,0.06361093261542668,0.10799872940000001,368.0,165.33333333333334,31.666666666666668,10.333333333333334,0.008072232146666665,0.05022436319999999
existing_residual_lagged_ar1,3,existing_residual_lagged_ar1,0.02436468136418805,0.0037409727063505475,0.04845560912666666,0.03703835646566667,0.06391685135000001,0.10677424480000001,365.3333333333333,160.33333333333334,33.333333333333336,10.0,0.00825125413333333,0.05022436319999999
raw_baseline,3,raw_baseline,0.028370003555545864,0.005315289340354115,0.04824659667333333,0.037153312802666656,0.06317018059333333,0.11124244483333334,366.3333333333333,159.0,36.0,11.666666666666666,0.009245241299999998,0.05022436319999999
selected_blend,3,"selected_blend_w_0.1, selected_blend_w_0.5, selected_blend_w_0.6",0.029376067717719945,0.0022893293943045934,0.048293659352666655,0.03693173934733334,0.06310910124861335,0.10877340628,364.3333333333333,159.0,32.666666666666664,11.333333333333334,0.008310436065333332,0.05022436319999999
