seed,policy,n_obs,n_days,rel_score,q90_abs_error,daily_q90_median,daily_q90_p90,daily_q90_max,days_ge_3p5,days_ge_5,days_ge_7,days_ge_8,prediction_abs_q90,actual_abs_q90,selection_split,blend_weight,objective
43,blend_w_-0.5,37643,448,0.027877772550782498,0.03200733058000003,0.027536831408,0.041391783764999995,0.07627241445600001,85,28,4,0,0.00759249447,0.033032992,late_train,-0.5,-0.10923680044391751
43,blend_w_-0.25,37643,448,0.03268556429488734,0.031927537474000005,0.027624067771875017,0.04100926754325,0.07568078105000002,84,28,5,0,0.00688029898,0.033032992,late_train,-0.25,-0.10914527427998769
43,blend_w_0,37643,448,0.035501012936283494,0.031854860880000016,0.027618520996000005,0.04077091758700001,0.07508914764400001,83,28,5,0,0.00626976148000001,0.033032992,late_train,0.0,-0.10526234061701653
43,blend_w_0.1,37643,448,0.03492088782684177,0.03188618540240002,0.027600512295200004,0.04057136508648,0.07485249428160003,85,28,5,0,0.006048582572200002,0.033032992,late_train,0.1,-0.10525915294079827
43,blend_w_0.25,37643,448,0.035794102984340825,0.031857950770000004,0.027388156869875,0.040755426538949986,0.07456273510000003,87,28,6,0,0.0057640162000000056,0.033032992,late_train,0.25,-0.1103143189440842
43,blend_w_0.4,37643,448,0.03456924604184952,0.031915237188000004,0.02736781168640001,0.04090136692088,0.07475183855200002,87,30,6,0,0.005609332704000001,0.033032992,late_train,0.4,-0.1179850106018705
43,blend_w_0.5,37643,448,0.03391886301889502,0.03194740764800003,0.02738174341050001,0.041058135516599994,0.07487790752000001,87,29,5,0,0.005540579250000001,0.033032992,late_train,0.5,-0.11002182928000499
43,blend_w_0.6,37643,448,0.03153136765361886,0.032034210660000006,0.027445330166000002,0.04113580482912,0.07500397648800002,87,29,5,0,0.005486683224,0.033032992,late_train,0.6,-0.11267711137566117
43,blend_w_0.75,37643,448,0.029776903127015864,0.03211832564,0.027405979209500005,0.04138670694464999,0.075165483835,90,29,5,0,0.0054719978750000006,0.033032992,late_train,0.75,-0.11500173789195914
43,blend_w_1,37643,448,0.022729207975375587,0.03233513894000001,0.027442402014500003,0.041353749069600015,0.07482748250000001,94,30,4,0,0.005644566260000004,0.033032992,late_train,1.0,-0.11859439462902444
43,blend_w_1.25,37643,448,0.01802013414150072,0.03250782271000001,0.027541616107500003,0.04233716952725001,0.0755513392095,98,30,4,0,0.005985449965000002,0.033032992,late_train,1.25,-0.1256472272007743
43,blend_w_1.5,37643,448,0.010043115146895598,0.0327167677,0.027515373157499995,0.042693110429,0.07772762951500001,101,30,6,0,0.00647661478,0.033032992,late_train,1.5,-0.14876970591460442
43,raw_baseline,60445,659,0.03023545465241584,0.04804348101999999,0.03716176019999999,0.06292186625200001,0.1162263364,365,155,37,15,0.009168705999999999,0.05022436319999999,val,,
43,alpha_only_no_market,60445,659,0.024904919877165033,0.04860834695999998,0.03705637954400002,0.06349290545200001,0.1095890845,367,170,31,9,0.0077355936,0.05022436319999999,val,,
43,existing_residual_lagged_ar1,60445,659,0.02361855922438516,0.048477792859999994,0.036780788999999994,0.06358928626,0.1094064185,366,164,34,9,0.007967597799999998,0.05022436319999999,val,,
43,selected_blend_w_0.1,60445,659,0.031187859110601956,0.04804711202599998,0.037094431967000026,0.06318840688984001,0.11445094556,364,155,37,14,0.008787486925999996,0.05022436319999999,val,0.1,
52,blend_w_-0.5,37643,448,0.026723824044557865,0.03193826312000002,0.027423852098750003,0.04077624279875002,0.07680814002799999,92,31,5,0,0.009054867480000001,0.033032992,late_train,-0.5,-0.12511030818716715
52,blend_w_-0.25,37643,448,0.03403523880845161,0.03182341455500003,0.027536175843125003,0.04072668474527501,0.07623364240000001,89,30,5,0,0.008099902625000002,0.033032992,late_train,-0.25,-0.11403515918946092
52,blend_w_0,37643,448,0.03612408607447548,0.0318239545,0.027527177247000024,0.04098385439180002,0.07589400680000001,87,30,5,0,0.007219521540000002,0.033032992,late_train,0.0,-0.11192450367322455
52,blend_w_0.1,37643,448,0.03628417822057994,0.03186941271440002,0.02755854974930001,0.041304940614610014,0.07573395174400001,86,30,5,0,0.006923686172000004,0.033032992,late_train,0.1,-0.11205397479413508
52,blend_w_0.25,37643,448,0.03450040054419368,0.031945739154,0.02761131916,0.041504194833925,0.07548168711,83,29,5,0,0.006520147550000005,0.033032992,late_train,0.25,-0.11083391623869382
52,blend_w_0.4,37643,448,0.033668500834338144,0.0320066139104,0.027579525187200006,0.041732647459600015,0.07520801853600001,82,31,5,0,0.006153773132000002,0.033032992,late_train,0.4,-0.11768009259826188
52,blend_w_0.5,37643,448,0.03274206034203042,0.032050792990000014,0.027570733299999997,0.04206847635325001,0.07502557282000001,80,30,4,0,0.005994762760000001,0.033032992,late_train,0.5,-0.1098913415718446
52,blend_w_0.6,37643,448,0.029929611952189905,0.03215687626720001,0.02760990737,0.04224031583290001,0.074843127104,79,31,4,0,0.005863067920000002,0.033032992,late_train,0.6,-0.11574261432196012
52,blend_w_0.75,37643,448,0.025609208892045543,0.03235729565500002,0.02771241557000001,0.042220460452325005,0.07486470698,81,31,4,0,0.00573670989,0.033032992,late_train,0.75,-0.12005913016244196
52,blend_w_1,37643,448,0.01755600790653522,0.03260286674400001,0.027925926400000006,0.0427976022622,0.07763659,88,31,5,0,0.00579596106,0.033032992,late_train,1.0,-0.13830430348676478
52,blend_w_1.25,37643,448,0.007682617387903656,0.03293318115500001,0.028000374868749997,0.042835950763750005,0.08201351600000001,91,31,5,1,0.0061938755,0.033032992,late_train,1.25,-0.15348752795772136
52,blend_w_1.5,37643,448,-0.0037106611959751845,0.03329750909900003,0.028041692520000005,0.042927907535,0.08542549221000001,93,31,8,1,0.006826399200000004,0.033032992,late_train,1.5,-0.18711311315047519
52,raw_baseline,60445,659,0.032501107578252864,0.04790689031999999,0.03705638120799999,0.061907543648,0.1111217246,365,163,30,8,0.010108712699999998,0.05022436319999999,val,,
52,alpha_only_no_market,60445,659,0.02268236023682657,0.04892110502,0.03730884098,0.06408091423060004,0.09500112050000001,369,165,35,11,0.0069935582399999995,0.05022436319999999,val,,
52,existing_residual_lagged_ar1,60445,659,0.021052996431441318,0.04886564343999999,0.037321711279999996,0.064395610552,0.0939674795,362,158,37,10,0.007143827599999998,0.05022436319999999,val,,
52,selected_blend_w_0.5,60445,659,0.030137231719410962,0.04834034641999999,0.036807481835,0.062442005567600004,0.099856171,364,160,30,9,0.007799448069999999,0.05022436319999999,val,0.5,
71,blend_w_-0.5,37643,448,0.013297689916599409,0.03275612948000003,0.027700581794500002,0.04343694998760002,0.10197775220000001,91,34,6,3,0.007259325570000001,0.033032992,late_train,-0.5,-0.18773103770480062
71,blend_w_-0.25,37643,448,0.021078235633649745,0.03249991494500001,0.027563643704750004,0.0429140396687525,0.0934783026,89,33,7,3,0.0066747779100000005,0.033032992,late_train,-0.25,-0.171966786989479
71,blend_w_0,37643,448,0.02943717503364407,0.03219490488000001,0.0276826336555,0.042685707849000006,0.08488249210000001,87,30,7,2,0.006297275720000001,0.033032992,late_train,0.0,-0.14395037725985596
71,blend_w_0.1,37643,448,0.03131280656836899,0.0320841002136,0.0276733103115,0.042479861099346004,0.08172056646000002,86,30,7,2,0.006218477130000003,0.033032992,late_train,0.1,-0.13797166483265003
