seed,candidate,split,n_obs,n_days,rel_score,median_abs_error,q90_abs_error,daily_q90_abs_error_median,daily_q90_abs_error_q90,daily_q90_abs_error_max,spike_days_ge_5pct,spike_days_ge_7pct,spike_days_ge_8pct,prediction_actual_abs_q90_ratio,directional_accuracy
43,base,train,129720,1970,0.024857359033679804,0.00968047868,0.03612909581000001,0.03091389069,0.04881449456400001,0.08127612180000002,175,18,2,0.15251930543994288,0.47605612087573235
43,weighted,train,129720,1970,0.021809534211236214,0.00982517375,0.03601314077,0.030805826525000007,0.04765289694484,0.08285148390000001,153,16,2,0.17339368204256458,0.47660345359235273
43,instance,train,129720,1970,0.019270640045479737,0.00968810335,0.0364317562,0.030940221720000008,0.049415116074000016,0.07519305476,190,15,0,0.12420837341715589,0.4656799259944496
43,tail_loss,train,129720,1970,0.03133394447368443,0.00974134555,0.03563881489,0.03113566600000002,0.04729303032600001,0.0877925231,158,13,1,0.17790909299545837,0.48213845205057043
43,tailstress,train,129720,1970,0.025513399807220893,0.009799494700000001,0.035853732065000005,0.030918769640000007,0.048306502918000004,0.08267447450000003,157,11,1,0.18061580631460947,0.4799799568300956
43,stressaux_w20,train,129720,1970,0.023429403799871906,0.009780040775,0.03601122877,0.031064280209500007,0.048071466676,0.0883578388,163,9,1,0.1710296455136584,0.4760098674067222
43,base_scale,train,129720,1970,0.025029654781559274,0.0096834721,0.03611330455800002,0.0309027959756,0.04883482078000001,0.08185797509,172,18,2,0.16014527071194004,0.47605612087573235
43,weighted_scale,train,129720,1970,0.02234913402355343,0.0098338456115,0.0359650913625,0.030784841449100007,0.04772542601255001,0.083271233975,154,16,2,0.18206336614469285,0.47660345359235273
43,instance_scale,train,129720,1970,0.021075862597981998,0.009703239725,0.036298758073,0.031055159936,0.049127469625500006,0.076911919628,187,17,0,0.16147088544230265,0.4656799259944496
43,tail_loss_scale,train,129720,1970,0.03133394447368443,0.00974134555,0.03563881489,0.03113566600000002,0.04729303032600001,0.0877925231,158,13,1,0.17790909299545837,0.48213845205057043
43,tailstress_scale,train,129720,1970,0.025734568764711918,0.009788805125000001,0.03586252569500001,0.0308962436265,0.04842252973010001,0.08206889292500003,158,11,1,0.17158501599887901,0.4799799568300956
43,stressaux_w20_scale,train,129720,1970,0.02348567386087752,0.00979463217375,0.03597884395,0.03110651902422501,0.0480369625616,0.08939632052000002,164,9,2,0.17958112778934135,0.4760098674067222
43,tail_loss_sign_scale,train,129720,1970,0.03085596720297401,0.0098024394,0.03554382627150001,0.0311518456855,0.04726864941989601,0.09029168556,156,14,1,0.21831540958939144,0.48213845205057043
43,tail_loss_daily_scale,train,129720,1970,0.03215053516458699,0.009768348245,0.035538341774200004,0.0310740674509,0.047271294754820004,0.09122762398,158,14,1,0.19340444283104158,0.48213845205057043
43,tailstress_sign_scale,train,129720,1970,0.025932277089441902,0.009791074235,0.03584673697175,0.030893623939000005,0.048316794904250004,0.08267447450000003,158,11,1,0.175846260182731,0.4799799568300956
43,tailstress_daily_scale,train,129720,1970,0.025882354205419067,0.0098417803675,0.035748165546000014,0.03092437767325,0.04817223678932501,0.08455392285000002,159,12,1,0.19817200853633546,0.4799799568300956
43,stressaux_w20_sign_scale,train,129720,1970,0.022992273060765456,0.00981319596,0.03596979312800002,0.030968618008800006,0.04796131037240001,0.09251176568000001,158,8,3,0.1814689762958471,0.4760098674067222
43,stressaux_w20_daily_scale,train,129720,1970,0.023429403799871906,0.009780040775,0.03601122877,0.031064280209500007,0.048071466676,0.0883578388,163,9,1,0.1710296455136584,0.4760098674067222
43,simplex_rel,train,129720,1970,0.032415508686036376,0.0097282793956,0.03560340127400001,0.030966420610000003,0.047538586776505645,0.08565949924,155,10,1,0.17192275631618897,0.48372648781991984
43,simplex_tail,train,129720,1970,0.03133394447368443,0.00974134555,0.03563881489,0.03113566600000002,0.04729303032600001,0.0877925231,158,13,1,0.17790909299545837,0.48213845205057043
43,base,val,60468,659,0.017189077193335178,0.012453545715,0.04917587808000003,0.036635466278000024,0.06497015621200002,0.09361318569,162,39,14,0.1420580994341595,0.5046966990805054
43,weighted,val,60468,659,0.029684095295879565,0.0124165262,0.048308059400000006,0.03697931929999999,0.0645999102,0.105079948,158,40,10,0.1495315274379833,0.5092114837600052
43,instance,val,60468,659,0.00447697881640885,0.01246836875,0.05010445294000001,0.03669036092600004,0.06570958523960002,0.08183383,171,36,2,0.11649315532727784,0.4955844413574122
43,tail_loss,val,60468,659,0.025796529458296247,0.012537400950000001,0.0483593494,0.037111662600000005,0.06405257640800001,0.100071732,162,37,11,0.1682988339370787,0.5076073294965933
43,tailstress,val,60468,659,0.026518234389765305,0.01253746775,0.04830481465,0.037068741330000016,0.06264515912399998,0.10549410749999999,161,34,14,0.17896767110411432,0.5104021962029504
43,stressaux_w20,val,60468,659,0.021675736349096586,0.012481888899999998,0.048780993359000005,0.0368558094,0.064335336224,0.09423149110000001,167,30,8,0.164237522649974,0.5067473705100218
43,base_scale,val,60468,659,0.01775110484818876,0.01247569407825,0.04908921646250004,0.03666776371550001,0.0651249107216,0.0945130518755,162,39,14,0.1491610044058675,0.5046966990805054
43,weighted_scale,val,60468,659,0.03056709418236414,0.0124266378565,0.04822127681495001,0.037087188289999996,0.06450418449880001,0.1068814914,158,40,12,0.1570081038098825,0.5092114837600052
43,instance_scale,val,60468,659,0.003425300782513019,0.012559135805,0.050002192910000014,0.037313265798,0.06544426312688001,0.0857386505,173,37,4,0.1514411019254612,0.4955844413574122
43,tail_loss_scale,val,60468,659,0.025796529458296247,0.012537400950000001,0.0483593494,0.037111662600000005,0.06405257640800001,0.100071732,162,37,11,0.1682988339370787,0.5076073294965933
43,tailstress_scale,val,60468,659,0.02601939151833499,0.0125246426575,0.04836806694175001,0.03698779729499999,0.0628772340718,0.103641782875,160,33,14,0.17001928754890863,0.5104021962029504
43,stressaux_w20_scale,val,60468,659,0.021772134886649863,0.012498796277,0.04873991221250002,0.036834930448,0.06421578799960002,0.09544680025500002,166,31,9,0.1724493987824727,0.5067473705100218
43,tail_loss_sign_scale,val,60468,659,0.02701579125397313,0.0126236343725,0.04809497623575002,0.0370470619325,0.06423566551680003,0.10463652787500001,159,39,11,0.20301349055375373,0.5076073294965933
43,tail_loss_daily_scale,val,60468,659,0.02736979545182705,0.012582622573499999,0.048150315472000015,0.03677540122,0.06421417965088001,0.106169703,161,38,12,0.19496162464764966,0.5076073294965933
43,tailstress_sign_scale,val,60468,659,0.026097605389746037,0.012529865550000002,0.048351725500000026,0.036893411275500006,0.06274890954040001,0.10549410749999999,161,33,14,0.1751446302834267,0.5104021962029504
43,tailstress_daily_scale,val,60468,659,0.02939311061584038,0.012561280089999998,0.048040485655,0.036997389455000036,0.0625055946968,0.111051081375,159,34,14,0.20309086312464333,0.5104021962029504
43,stressaux_w20_sign_scale,val,60468,659,0.02304831036719801,0.012513503225,0.048614301920000005,0.036830898847999984,0.06425938492320003,0.09909272772000002,163,30,11,0.17831981257732415,0.5067473705100218
43,stressaux_w20_daily_scale,val,60468,659,0.021675736349096586,0.012481888899999998,0.048780993359000005,0.0368558094,0.064335336224,0.09423149110000001,167,30,8,0.164237522649974,0.5067473705100218
43,simplex_rel,val,60468,659,0.028180505694350155,0.012496427269999999,0.048261595828,0.03670214466340001,0.06377909053280001,0.10131271780000001,160,35,10,0.1575706988790126,0.5111298538069723
43,simplex_tail,val,60468,659,0.025796529458296247,0.012537400950000001,0.0483593494,0.037111662600000005,0.06405257640800001,0.100071732,162,37,11,0.1682988339370787,0.5076073294965933
52,base,train,129720,1970,0.02035249342978729,0.009728539299999998,0.03628932192,0.030823558556000004,0.0483846543363,0.0818957954,176,17,2,0.14606068017983115,0.4728106691335183
52,weighted,train,129720,1970,0.023736406912979513,0.00975096995,0.03605190054600001,0.030880763385000017,0.04837834249800002,0.08958613900000001,168,18,7,0.16021532727974241,0.47490749306197966
52,instance,train,129720,1970,0.010133704071115468,0.009849758099999998,0.03662837993000001,0.031051660170000016,0.04922165761055,0.0788666332,179,11,0,0.10751318290886112,0.4576626580326858
52,tail_loss,train,129720,1970,0.027217014556832342,0.00981355035,0.035728677334300005,0.030981861335,0.04815640106299999,0.08392882170000002,154,16,3,0.1953300647974173,0.4770582793709528
52,tailstress,train,129720,1970,0.03238855188205503,0.009757481415000002,0.0355465312,0.030885700390000003,0.047745402524,0.091110044,160,12,1,0.2067658990462773,0.484736355226642
52,stressaux_w20,train,129720,1970,0.0256537359490584,0.00978436375,0.035876008200000004,0.031167907450000008,0.047872668419000036,0.089318035,158,11,3,0.17888396998998568,0.47700431699044094
52,base_scale,train,129720,1970,0.02161709796492539,0.00976395955,0.036146519668000004,0.030801593734480007,0.04831041468768,0.08442551708000001,177,20,4,0.1752728162157974,0.4728106691335183
52,weighted_scale,train,129720,1970,0.024605740665728515,0.009755579485,0.03599321243000001,0.030883340022700018,0.04834096304440001,0.09173395940000001,167,18,8,0.17623686000771663,0.47490749306197966
52,instance_scale,train,129720,1970,0.010133704071115468,0.009849758099999998,0.03662837993000001,0.031051660170000016,0.04922165761055,0.0788666332,179,11,0,0.10751318290886112,0.4576626580326858
52,tail_loss_scale,train,129720,1970,0.027681968805657764,0.0098408739275,0.035647572167000006,0.031020831518000006,0.047936785274860005,0.08587063769000002,154,15,4,0.214863071277159,0.4770582793709528
52,tailstress_scale,train,129720,1970,0.032955584755524625,0.009695260045000001,0.035638707189500005,0.030869995147100003,0.04789029478390004,0.0878030894,159,12,1,0.1757510141893357,0.484736355226642
52,stressaux_w20_scale,train,129720,1970,0.0256537359490584,0.00978436375,0.035876008200000004,0.031167907450000008,0.047872668419000036,0.089318035,158,11,3,0.17888396998998568,0.47700431699044094
52,tail_loss_sign_scale,train,129720,1970,0.027402304578455827,0.009787893655,0.03576944687900003,0.030961122255,0.04826332537700004,0.08392882170000002,157,15,2,0.1869808472453335,0.4770582793709528
52,tail_loss_daily_scale,train,129720,1970,0.027217014556832342,0.00981355035,0.035728677334300005,0.030981861335,0.04815640106299999,0.08392882170000002,154,16,3,0.1953300647974173,0.4770582793709528
52,tailstress_sign_scale,train,129720,1970,0.032795645664537965,0.0097181495625,0.035602029416500015,0.030801157118750006,0.04785051755544,0.0900077258,160,12,1,0.1847330550258296,0.484736355226642
52,tailstress_daily_scale,train,129720,1970,0.0328493040995842,0.009749675585,0.035535923962400004,0.030900063185500003,0.04774998711675003,0.09221236220000001,159,13,1,0.20105737681835203,0.484736355226642
52,stressaux_w20_sign_scale,train,129720,1970,0.02502913732381662,0.0097805963125,0.03591908557870001,0.031172749906000004,0.04806239041180001,0.08833581500000001,160,11,3,0.16560200730513325,0.47700431699044094
52,stressaux_w20_daily_scale,train,129720,1970,0.0256537359490584,0.00978436375,0.035876008200000004,0.031167907450000008,0.047872668419000036,0.089318035,158,11,3,0.17888396998998568,0.47700431699044094
52,simplex_rel,train,129720,1970,0.03559221082672637,0.0096495262847,0.035580138690000006,0.03081627649000001,0.047550247323019997,0.08432294765000001,156,10,1,0.1725376771101956,0.48770428615479494
52,simplex_tail,train,129720,1970,0.033394765198916154,0.009699903495,0.03560442892400001,0.030879896871000005,0.047290375113879984,0.08467855105,150,10,2,0.18197204752440602,0.4864400246685168
52,base,val,60468,659,0.015389949408107784,0.012438553315,0.04934147872000002,0.03723590053000001,0.065853098164,0.09623698750000001,162,38,9,0.13606188886541346,0.49631209896143413
52,weighted,val,60468,659,0.027054649941365416,0.01249575055,0.048347814765000004,0.03684575506,0.063896091468,0.1218774715,160,41,17,0.14873338584997373,0.5040517298405768
52,instance,val,60468,659,0.006127529535743914,0.0125113473,0.04989407954000001,0.03692453786500001,0.0667011482772,0.0854276726,169,37,1,0.09491686505663595,0.4925415095587749
52,tail_loss,val,60468,659,0.027512996420494762,0.01270864465,0.047887477022000025,0.03707022779700001,0.06313528789680001,0.1051579154,161,25,9,0.1919097456893444,0.5043990209697692
52,tailstress,val,60468,659,0.03462873284250323,0.012467874351,0.047832642950000004,0.037106534940000005,0.06273747156000005,0.1265281635,162,33,16,0.19595991033713414,0.5054078190117087
52,stressaux_w20,val,60468,659,0.032999492557967414,0.012466492999999999,0.04795821560000001,0.03698230809300001,0.0637151253148,0.0962374504,166,29,12,0.17099659742562687,0.5104848845670438
52,base_scale,val,60468,659,0.015097596672424496,0.0125189683636,0.04920268578000003,0.03715493237160001,0.06570677102880003,0.10158729300000001,162,42,14,0.16327426663849615,0.49631209896143413
52,weighted_scale,val,60468,659,0.027314454297582724,0.012519889000000001,0.048279954161,0.037138425414999995,0.06372318879400002,0.12723120464999998,158,44,17,0.16360672443497112,0.5040517298405768
52,instance_scale,val,60468,659,0.006127529535743914,0.0125113473,0.04989407954000001,0.03692453786500001,0.0667011482772,0.0854276726,169,37,1,0.09491686505663595,0.4925415095587749
52,tail_loss_scale,val,60468,659,0.027718935026797342,0.01278619194,0.04771685906600002,0.037393437660000015,0.0628213748552,0.10881437914000001,162,27,10,0.21110072025827886,0.5043990209697692
52,tailstress_scale,val,60468,659,0.03334620251290732,0.0124236067025,0.04801785366350002,0.036886401980000004,0.062460499714000015,0.11794604947500001,161,31,15,0.166565923786564,0.5054078190117087
52,stressaux_w20_scale,val,60468,659,0.032999492557967414,0.012466492999999999,0.04795821560000001,0.03698230809300001,0.0637151253148,0.0962374504,166,29,12,0.17099659742562687,0.5104848845670438
52,tail_loss_sign_scale,val,60468,659,0.02733810543467241,0.012684938350000001,0.04794807267,0.03707022779700001,0.06323337911632,0.10157202114000001,162,25,8,0.18112519135288158,0.5043990209697692
52,tail_loss_daily_scale,val,60468,659,0.027512996420494762,0.01270864465,0.047887477022000025,0.03707022779700001,0.06313528789680001,0.1051579154,161,25,9,0.1919097456893444,0.5043990209697692
52,tailstress_sign_scale,val,60468,659,0.034931741996854004,0.0124382522225,0.04786904678325001,0.036886401980000004,0.062812407998,0.12366745882499999,160,31,16,0.17633424426345962,0.5054078190117087
52,tailstress_daily_scale,val,60468,659,0.03589041183275743,0.01246466249,0.0477439630015,0.03706654348249999,0.062492322727800004,0.129388868175,162,32,16,0.19969898697657362,0.5054078190117087
52,stressaux_w20_sign_scale,val,60468,659,0.03459252293863091,0.012427658535,0.04791580403600003,0.037089381876,0.06397950277424,0.09484578498,165,29,11,0.1593573569972941,0.5104848845670438
52,stressaux_w20_daily_scale,val,60468,659,0.032999492557967414,0.012466492999999999,0.04795821560000001,0.03698230809300001,0.0637151253148,0.0962374504,166,29,12,0.17099659742562687,0.5104848845670438
52,simplex_rel,val,60468,659,0.031978367893254256,0.012450261385,0.04806764983800003,0.036943530391000005,0.06289239148900007,0.11152410715,162,33,10,0.1578797632088228,0.5096083879076536
52,simplex_tail,val,60468,659,0.03512768771181285,0.012477365195,0.04777605071300002,0.03673800191279998,0.0628502413256,0.11083160315000001,165,28,10,0.16996259081915033,0.5113283058807965
71,base,train,129720,1970,0.015879284696917795,0.00976493444,0.03647107757,0.03115548022000001,0.04857795685630001,0.0866587644,178,18,1,0.1331854711657028,0.46782300339192107
71,weighted,train,129720,1970,0.0006977089881211596,0.01000742608,0.03684999502400001,0.031292454311500004,0.04894135298600002,0.077184068,181,18,0,0.08630487753182833,0.42897008942337345
71,instance,train,129720,1970,0.024561456333456633,0.00962569915,0.03625549308,0.031021511030000004,0.049625869984000016,0.0822329317,190,15,1,0.14403191999777518,0.474568300955905
71,tail_loss,train,129720,1970,0.021998205363191414,0.00978189505,0.036088961923000006,0.031013660848400015,0.04817892827180001,0.0801367373,172,14,1,0.16753425428700033,0.4760946654332408
71,tailstress,train,129720,1970,0.02643329772399572,0.009766476952499999,0.035867421183,0.030853461909999998,0.04812663213800001,0.07944490760000002,165,9,0,0.14947694533327105,0.4791165587419056
71,stressaux_w20,train,129720,1970,0.022086420013865182,0.00978993975,0.036067852708,0.031162033640000007,0.048752806615,0.08886186345000002,170,12,2,0.16440037265467453,0.47439870490286773
71,base_scale,train,129720,1970,0.01703373306703926,0.00974731987,0.03644061334500001,0.031082871346,0.04863200788232801,0.08488650644,175,17,1,0.11986692404913253,0.46782300339192107
71,weighted_scale,train,129720,1970,0.002024296739012832,0.009954035035,0.036881288235000004,0.031435786762000005,0.04895300790450001,0.0719731854,183,12,0,0.025891463259548504,0.42897008942337345
71,instance_scale,train,129720,1970,0.026205274472779205,0.009630346084999998,0.036152658478500015,0.0310774005385,0.04961799778329001,0.084140942455,192,19,2,0.16563670799744148,0.474568300955905
71,tail_loss_scale,train,129720,1970,0.022230420976880882,0.009767978605000002,0.03610358068800003,0.030991631014950012,0.048225485592310005,0.079548933035,169,14,0,0.1591575415726503,0.4760946654332408
71,tailstress_scale,train,129720,1970,0.026708000143222055,0.0097879002925,0.035808942685450006,0.0307744399476,0.04793291738960002,0.08109233196500001,163,11,1,0.17189848713326172,0.4791165587419056
71,stressaux_w20_scale,train,129720,1970,0.022650677432648147,0.009790269845,0.0360350837035,0.031202520164350003,0.04868008607600001,0.08957960927250003,171,13,2,0.17262039128740828,0.47439870490286773
71,tail_loss_sign_scale,train,129720,1970,0.022056667094283,0.009769116264999999,0.03611119275450002,0.030944968464575014,0.048125296489899994,0.079548933035,170,14,0,0.1540805549968046,0.4760946654332408
71,tail_loss_daily_scale,train,129720,1970,0.021998205363191414,0.00978189505,0.036088961923000006,0.031013660848400015,0.04817892827180001,0.0801367373,172,14,1,0.16753425428700033,0.4760946654332408
71,tailstress_sign_scale,train,129720,1970,0.026738679947385324,0.00979294215625,0.03579711313750002,0.0308164033165,0.04793010823435,0.08109233196500001,160,11,1,0.18013774412431685,0.4791165587419056
71,tailstress_daily_scale,train,129720,1970,0.026285135037531826,0.00984512944525,0.035718547328500015,0.030873265147250018,0.04764378795878,0.08328941844800002,159,11,2,0.192637449121783,0.4791165587419056
