candidate,rel_score_mean,rel_score_std,q90_abs_error_mean,daily_q90_abs_error_q90_mean,daily_q90_abs_error_max_mean,spike_days_ge_5pct_mean,spike_days_ge_7pct_mean,spike_days_ge_8pct_mean,prediction_actual_abs_q90_ratio_mean,directional_accuracy_mean
base,0.01667372934204936,0.0011189642961843356,0.04926208665333335,0.065626960134,0.09506224306333333,163.33333333333334,40.333333333333336,13.0,0.13378830942844802,0.49819188110515755
base_scale,0.016437628409161482,0.001326953389380835,0.049213392150500024,0.06571439863666667,0.09627506165850001,162.33333333333334,41.333333333333336,14.0,0.14111857234385253,0.49819188110515755
instance,0.006499754935279915,0.002232286635751217,0.049965669096666686,0.06598358179026668,0.08447005473333334,172.0,36.0,2.0,0.11488052826027724,0.49325262948997817
instance_scale,0.006197145364626751,0.0028072999499772987,0.04990993430716668,0.06588197370262668,0.08661985469666666,172.66666666666666,36.333333333333336,3.3333333333333335,0.13319142201285092,0.49325262948997817
simplex_rel,0.024114818319093012,0.010504092534197937,0.04866598512400001,0.06364880374273336,0.09893470641333334,164.0,31.0,7.0,0.1413943403266096,0.5072214504641573
simplex_tail,0.02701889326037832,0.00757197622185242,0.04835026726900001,0.06337947887560001,0.09730787413833335,166.33333333333334,29.666666666666668,7.666666666666667,0.1534880685059257,0.5050550153249102
stressaux_w20,0.024767544102766898,0.00720226689960395,0.048572927619666674,0.06393347929053333,0.09442062846666667,166.66666666666666,29.0,7.666666666666667,0.1659796499840164,0.5069678728142709
stressaux_w20_daily_scale,0.02613871379324321,0.006030667628812571,0.04842932646033334,0.06370474881,0.09597487208666666,165.0,30.0,8.666666666666666,0.1763976718370088,0.5069678728142709
stressaux_w20_scale,0.025132755326500684,0.00683682722281947,0.048527489094333354,0.06383964511680001,0.09521429242333335,166.33333333333334,29.666666666666668,8.0,0.1714286891927901,0.5069678728142709
stressaux_w20_sign_scale,0.02642493305066862,0.007108602959758933,0.048439686202333354,0.06404532577376001,0.09829707853500001,163.33333333333334,29.333333333333332,9.666666666666666,0.17415690997723396,0.5069678728142709
tail_loss,0.022709022639008647,0.006887899844101295,0.04845656129066667,0.06398574504293335,0.09868899913333333,164.0,31.333333333333332,8.0,0.16992294714000067,0.5028003792639634
tail_loss_daily_scale,0.023233444636852247,0.0072887371362546135,0.04838688331466668,0.06403961279056002,0.10072165613333334,163.66666666666666,31.666666666666668,8.333333333333334,0.17881054404352434,0.5028003792639634
tail_loss_scale,0.022159252998262418,0.008022589661249893,0.048444201248166674,0.06388198937020001,0.09955210429666667,163.66666666666666,32.0,8.333333333333334,0.17382726763308587,0.5028003792639634
tail_loss_sign_scale,0.022303937876098596,0.008441840123932525,0.04844330854108334,0.06408714852697335,0.09865958358833334,162.66666666666666,32.0,7.666666666666667,0.1741785163941613,0.5028003792639634
tailstress,0.02670172773963131,0.007836869718814499,0.04832790513333334,0.06286075983600002,0.10556067313333334,164.33333333333334,28.666666666666668,11.0,0.16954873499771209,0.5021995104848845
tailstress_daily_scale,0.029815986354773043,0.005874414150838334,0.048000803602166665,0.06281132374086668,0.11086291753,162.0,30.666666666666668,12.333333333333334,0.1959734857876064,0.5021995104848845
tailstress_scale,0.02718243478831898,0.005672386943845154,0.048320063127583336,0.06283654540870667,0.10297117083666667,163.0,28.333333333333332,10.666666666666666,0.1634538761400479,0.5021995104848845
tailstress_sign_scale,0.027649183784919245,0.006644064241362924,0.048242892748583344,0.06293356143546668,0.10606995277499999,162.66666666666666,28.333333333333332,11.0,0.17140087505884183,0.5021995104848845
weighted,0.020214839715378814,0.01418512306356012,0.04879729825500001,0.06457585008933335,0.10229160883333333,158.66666666666666,42.0,9.0,0.1296924578296082,0.49915106612864096
weighted_scale,0.020064744647113903,0.015459515534290588,0.048848138691983345,0.06517416437257334,0.10220639225,161.0,38.666666666666664,9.666666666666666,0.11595285543503797,0.49915106612864096
