seed,params
43,"{""base_scale"": {""scale"": 1.05, ""source"": ""base"", ""train_rel_score"": 0.025029654781559274}, ""instance_scale"": {""scale"": 1.3, ""source"": ""instance"", ""train_rel_score"": 0.021075862597981998}, ""simplex_rel"": {""base"": 0.0, ""instance"": 0.0, ""stressaux_w20"": 0.0, ""tail_loss"": 0.8, ""tailstress"": 0.2}, ""simplex_tail"": {""base"": 0.0, ""instance"": 0.0, ""stressaux_w20"": 0.0, ""tail_loss"": 1.0, ""tailstress"": 0.0}, ""stressaux_w20_daily_scale"": {""scale_high"": 1.0, ""scale_low"": 1.0, ""scale_mid"": 1.0, ""source"": ""stressaux_w20"", ""threshold_1"": 0.00453786606, ""threshold_2"": 0.005966007993333334}, ""stressaux_w20_scale"": {""scale"": 1.05, ""source"": ""stressaux_w20"", ""train_rel_score"": 0.02348567386087752}, ""stressaux_w20_sign_scale"": {""negative_scale"": 0.9, ""positive_scale"": 1.2000000000000002, ""source"": ""stressaux_w20""}, ""tail_loss_daily_scale"": {""scale_high"": 1.2000000000000002, ""scale_low"": 0.9, ""scale_mid"": 0.9500000000000001, ""source"": ""tail_loss"", ""threshold_1"": 0.004867250526666667, ""threshold_2"": 0.006294904683333331}, ""tail_loss_scale"": {""scale"": 1.0, ""source"": ""tail_loss"", ""train_rel_score"": 0.03133394447368443}, ""tail_loss_sign_scale"": {""negative_scale"": 1.3, ""positive_scale"": 1.1500000000000001, ""source"": ""tail_loss""}, ""tailstress_daily_scale"": {""scale_high"": 1.1500000000000001, ""scale_low"": 0.9500000000000001, ""scale_mid"": 1.0, ""source"": ""tailstress"", ""threshold_1"": 0.004345566393333334, ""threshold_2"": 0.005893000326666668}, ""tailstress_scale"": {""scale"": 0.9500000000000001, ""source"": ""tailstress"", ""train_rel_score"": 0.025734568764711918}, ""tailstress_sign_scale"": {""negative_scale"": 0.9500000000000001, ""positive_scale"": 1.0, ""source"": ""tailstress""}, ""weighted_scale"": {""scale"": 1.05, ""source"": ""weighted"", ""train_rel_score"": 0.02234913402355343}}"
52,"{""base_scale"": {""scale"": 1.2000000000000002, ""source"": ""base"", ""train_rel_score"": 0.02161709796492539}, ""instance_scale"": {""scale"": 1.0, ""source"": ""instance"", ""train_rel_score"": 0.010133704071115468}, ""simplex_rel"": {""base"": 0.2, ""instance"": 0.0, ""stressaux_w20"": 0.0, ""tail_loss"": 0.30000000000000004, ""tailstress"": 0.5}, ""simplex_tail"": {""base"": 0.0, ""instance"": 0.0, ""stressaux_w20"": 0.1, ""tail_loss"": 0.5, ""tailstress"": 0.4}, ""stressaux_w20_daily_scale"": {""scale_high"": 1.0, ""scale_low"": 1.0, ""scale_mid"": 1.0, ""source"": ""stressaux_w20"", ""threshold_1"": 0.004233029806666667, ""threshold_2"": 0.005909757866666668}, ""stressaux_w20_scale"": {""scale"": 1.0, ""source"": ""stressaux_w20"", ""train_rel_score"": 0.0256537359490584}, ""stressaux_w20_sign_scale"": {""negative_scale"": 0.9, ""positive_scale"": 0.9500000000000001, ""source"": ""stressaux_w20""}, ""tail_loss_daily_scale"": {""scale_high"": 1.0, ""scale_low"": 1.0, ""scale_mid"": 1.0, ""source"": ""tail_loss"", ""threshold_1"": 0.004724237459999999, ""threshold_2"": 0.0067119091999999995}, ""tail_loss_scale"": {""scale"": 1.1, ""source"": ""tail_loss"", ""train_rel_score"": 0.027681968805657764}, ""tail_loss_sign_scale"": {""negative_scale"": 1.0, ""positive_scale"": 0.9, ""source"": ""tail_loss""}, ""tailstress_daily_scale"": {""scale_high"": 1.05, ""scale_low"": 0.9, ""scale_mid"": 0.75, ""source"": ""tailstress"", ""threshold_1"": 0.004980062803333333, ""threshold_2"": 0.006879687733333331}, ""tailstress_scale"": {""scale"": 0.8500000000000001, ""source"": ""tailstress"", ""train_rel_score"": 0.032955584755524625}, ""tailstress_sign_scale"": {""negative_scale"": 0.8500000000000001, ""positive_scale"": 0.9500000000000001, ""source"": ""tailstress""}, ""weighted_scale"": {""scale"": 1.1, ""source"": ""weighted"", ""train_rel_score"": 0.024605740665728515}}"
71,"{""base_scale"": {""scale"": 0.9, ""source"": ""base"", ""train_rel_score"": 0.01703373306703926}, ""instance_scale"": {""scale"": 1.1500000000000001, ""source"": ""instance"", ""train_rel_score"": 0.026205274472779205}, ""simplex_rel"": {""base"": 0.0, ""instance"": 0.5, ""stressaux_w20"": 0.0, ""tail_loss"": 0.1, ""tailstress"": 0.4}, ""simplex_tail"": {""base"": 0.1, ""instance"": 0.0, ""stressaux_w20"": 0.1, ""tail_loss"": 0.0, ""tailstress"": 0.8}, ""stressaux_w20_daily_scale"": {""scale_high"": 1.2000000000000002, ""scale_low"": 0.9500000000000001, ""scale_mid"": 1.2000000000000002, ""source"": ""stressaux_w20"", ""threshold_1"": 0.00411847728, ""threshold_2"": 0.005645646746666666}, ""stressaux_w20_scale"": {""scale"": 1.05, ""source"": ""stressaux_w20"", ""train_rel_score"": 0.022650677432648147}, ""stressaux_w20_sign_scale"": {""negative_scale"": 0.9500000000000001, ""positive_scale"": 1.35, ""source"": ""stressaux_w20""}, ""tail_loss_daily_scale"": {""scale_high"": 1.0, ""scale_low"": 1.0, ""scale_mid"": 1.0, ""source"": ""tail_loss"", ""threshold_1"": 0.004516160973333333, ""threshold_2"": 0.006086398933333331}, ""tail_loss_scale"": {""scale"": 0.9500000000000001, ""source"": ""tail_loss"", ""train_rel_score"": 0.022230420976880882}, ""tail_loss_sign_scale"": {""negative_scale"": 0.9, ""positive_scale"": 0.9500000000000001, ""source"": ""tail_loss""}, ""tailstress_daily_scale"": {""scale_high"": 1.4500000000000002, ""scale_low"": 0.55, ""scale_mid"": 1.1, ""source"": ""tailstress"", ""threshold_1"": 0.003857190683333333, ""threshold_2"": 0.0052119649366666665}, ""tailstress_scale"": {""scale"": 1.1500000000000001, ""source"": ""tailstress"", ""train_rel_score"": 0.026708000143222055}, ""tailstress_sign_scale"": {""negative_scale"": 1.25, ""positive_scale"": 1.1500000000000001, ""source"": ""tailstress""}, ""weighted_scale"": {""scale"": 0.30000000000000004, ""source"": ""weighted"", ""train_rel_score"": 0.002024296739012832}}"
