model,threshold,selected_rows,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return
linear_regression,0.0,304,1.0,0.5164473684210527,0.0114469898625,0.006529101757894737,1.9848469344000002
linear_regression,0.0025,241,0.7927631578947368,0.5311203319502075,0.0138639722406639,0.00763738880912863,1.8406107029999998
linear_regression,0.005,191,0.6282894736842105,0.5445026178010471,0.014377048074869109,0.011114630244502618,2.1228943767
linear_regression,0.01,123,0.40460526315789475,0.5203252032520326,0.012012818170731708,0.004406863162601625,0.542044169
linear_regression,0.015,60,0.19736842105263158,0.6,0.014302805881666669,0.02000532870833333,1.2003197224999997
linear_regression,0.02,33,0.10855263157894737,0.6060606060606061,0.019901335,0.019941263727272725,0.6580617029999999
lstm,0.0,304,1.0,0.5328947368421053,0.0114469898625,0.01213806845986842,3.6899728117999997
lstm,0.0025,249,0.819078947368421,0.5421686746987951,0.008555644047791165,0.009955023497590362,2.4788008509
lstm,0.005,186,0.6118421052631579,0.5698924731182796,0.009495548612903226,0.010913431709677419,2.029898298
lstm,0.01,146,0.48026315789473684,0.5821917808219178,0.006568386067808217,0.013413939804794519,1.9584352114999999
lstm,0.015,114,0.375,0.5877192982456141,0.01104283135877193,0.017951471302631576,2.0464677284999997
lstm,0.02,90,0.29605263157894735,0.5777777777777777,0.015856324918888887,0.01917668759666667,1.7259018837000002
