candidate,baseline,n_folds,mean_delta_rel_score,median_delta_rel_score,ci95_low,ci95_high,p_boot_delta_le_0,positive_delta_folds
ensemble_mean_cal_each_train_cal_clip,lagged_stock_mean5_val_only,32,0.1260458784158121,0.12516354129976331,0.10927661620925849,0.14180212038225729,0.0,32
ensemble_mean_cal_each_train_cal_clip,stock_train_mean,32,0.030478089952848356,0.021044585704263874,0.01731104994459267,0.0442835811878391,0.0,25
ensemble_mean_cal_each_train_cal_clip,global_train_mean,32,0.030477293598526137,0.020606354404404226,0.01711946310456684,0.044965410585970166,0.0,25
ensemble_mean_cal_each_train_cal_clip,zero,32,0.0297960028946117,0.020772523285071787,0.016500826972053788,0.044093131472605906,0.0,24
ensemble_mean_cal_each_train_cal_clip,ridge_last_step,32,0.029556785657155984,0.029231038216017358,0.01721971244228285,0.04292768416561839,0.0,23
ensemble_mean_cal_each_train_cal_clip,single_seed43_raw,32,0.013327262535449177,0.009805576537127214,0.005060423760675724,0.025051085451714,0.0,23
ensemble_mean_cal_each_train_cal_clip,single_seed43_train_cal,32,0.012343644417562583,0.0071050498157721464,0.004231490678580628,0.02435560730028385,0.0001,23
ensemble_mean_cal_each_train_cal_clip,ensemble_median_train_cal,32,0.0019010819567947881,0.0010925937394340446,-0.0008137897087285805,0.004718405680368621,0.0866,18
ensemble_mean_cal_each_train_cal_clip,ensemble_mean_train_cal_each,32,0.00025805527852929694,-0.0009919092481749936,-0.0018073311528701097,0.0025006323615356504,0.42065,12
ensemble_mean_cal_each_train_cal_clip,ensemble_mean_raw,32,0.00011961100950229689,-0.0021970819482759474,-0.002242727903868921,0.0027259150190589634,0.46705,9
ensemble_mean_cal_each_train_cal_clip,ensemble_mean_cal_each_train_cal,32,-7.637054822848613e-05,0.0,-0.0005665330911376327,0.0003597766151529208,0.62175,2
ensemble_mean_cal_each_train_cal_clip,ensemble_mean_raw_train_cal,32,-7.853211527688794e-05,6.586587213619488e-05,-0.000952818257193259,0.0007948473689549778,0.56715,16
