n,rel_score,absE_robust,base_robust,absE_median,absE_q90,DA,pred_actual_q90_ratio,model,Date
88,0.0,0.03506462089717388,0.03506462089717388,0.015556407161056995,0.03901642747223377,0.11363636363636363,0.0,zero,2020-06-11
87,0.0,0.06789486184716226,0.06789486184716226,0.035087693482637405,0.06561433672904969,0.022988505747126436,0.0,zero,2020-06-12
92,0.0,0.04621928837150336,0.04621928837150336,0.020390956662595272,0.051656663417816176,0.03260869565217391,0.0,zero,2020-06-15
90,0.0,0.023598195426166056,0.023598195426166056,0.009696317836642265,0.027803755179047585,0.14444444444444443,0.0,zero,2020-06-16
89,0.0,0.018420984596014024,0.018420984596014024,0.007682458497583866,0.02147705219686032,0.15730337078651685,0.0,zero,2020-06-17
91,0.0,0.040114738047122955,0.040114738047122955,0.017213983461260796,0.04580150917172432,0.06593406593406594,0.0,zero,2020-06-18
92,0.0,0.02371050589717925,0.02371050589717925,0.007740560686215758,0.031939890421926985,0.11956521739130435,0.0,zero,2020-06-19
92,0.0,0.029014166258275534,0.029014166258275534,0.00992630748078227,0.03817571755498653,0.10869565217391304,0.0,zero,2020-06-22
91,0.0,0.027214654721319675,0.027214654721319675,0.01005783211439848,0.03431364521384239,0.10989010989010989,0.0,zero,2020-06-23
91,0.0,0.021236280910670757,0.021236280910670757,0.010075566358864307,0.0223214291036129,0.10989010989010989,0.0,zero,2020-06-24
91,0.0,0.01807674439623952,0.01807674439623952,0.0075872535817325115,0.020978981629014015,0.12087912087912088,0.0,zero,2020-06-25
91,0.0,0.05818408168852329,0.05818408168852329,0.030534351244568825,0.055299460887908936,0.01098901098901099,0.0,zero,2020-06-26
92,0.0,0.029777470044791705,0.029777470044791705,0.010123532265424728,0.039307875558733954,0.16304347826086957,0.0,zero,2020-06-29
91,0.0,0.040893858298659325,0.040893858298659325,0.018072281032800674,0.0456431545317173,0.04395604395604396,0.0,zero,2020-06-30
91,0.0,0.01955330464988947,0.01955330464988947,0.007590132765471935,0.023926343768835068,0.06593406593406594,0.0,zero,2020-07-01
91,0.0,0.021279388573020697,0.021279388573020697,0.006535947788506746,0.0294868815690279,0.14285714285714285,0.0,zero,2020-07-02
92,0.0,0.024637181963771584,0.024637181963771584,0.009709653444588184,0.029855057038366797,0.09782608695652174,0.0,zero,2020-07-03
92,0.0,0.016186743043363098,0.016186743043363098,0.005956788081675768,0.02045990992337466,0.16304347826086957,0.0,zero,2020-07-06
92,0.0,0.01789108333177865,0.01789108333177865,0.005027005216106772,0.025728156231343755,0.18478260869565216,0.0,zero,2020-07-07
92,0.0,0.031155273504555235,0.031155273504555235,0.010364043526351452,0.041582459956407566,0.08695652173913043,0.0,zero,2020-07-08
91,0.0,0.017637995537370443,0.017637995537370443,0.007221349980682135,0.020833291113376617,0.13186813186813187,0.0,zero,2020-07-09
91,0.0,0.017969963140785694,0.017969963140785694,0.006733992137014866,0.022471942007541656,0.13186813186813187,0.0,zero,2020-07-10
92,0.0,0.01668438157066703,0.01668438157066703,0.006188889034092426,0.020990985073149206,0.2391304347826087,0.0,zero,2020-07-13
92,0.0,0.01724820672534406,0.01724820672534406,0.006904961308464408,0.020686490833759306,0.09782608695652174,0.0,zero,2020-07-14
92,0.0,0.018853062158450486,0.018853062158450486,0.007252540206536651,0.02320104390382767,0.14130434782608695,0.0,zero,2020-07-15
92,0.0,0.017557969456538557,0.017557969456538557,0.00738227111287415,0.020351396687328816,0.11956521739130435,0.0,zero,2020-07-16
92,0.0,0.03381496593356134,0.03381496593356134,0.013888850808143616,0.039852230250835445,0.03260869565217391,0.0,zero,2020-07-17
91,0.0,0.01705458015203476,0.01705458015203476,0.0056129321455955505,0.022883296012878418,0.1978021978021978,0.0,zero,2020-07-20
91,0.0,0.02230086736381054,0.02230086736381054,0.010582119226455688,0.0234374962747097,0.13186813186813187,0.0,zero,2020-07-21
90,0.0,0.017512420564889906,0.017512420564889906,0.006832804996520281,0.021359231136739255,0.1111111111111111,0.0,zero,2020-07-22
89,0.0,0.07607419490814209,0.07607419490814209,0.04140537604689598,0.06933763772249221,0.011235955056179775,0.0,zero,2020-07-23
89,0.0,0.10178353413939475,0.10178353413939475,0.06681852787733078,0.06993001252412796,0.02247191011235955,0.0,zero,2020-07-24
84,0.0,0.07409365326166154,0.07409365326166154,0.04032045789062977,0.06754639074206352,0.011904761904761904,0.0,zero,2020-07-27
86,0.0,0.05734419636428356,0.05734419636428356,0.028504501096904278,0.05767939053475857,0.011627906976744186,0.0,zero,2020-07-28
89,0.0,0.024329463019967083,0.024329463019967083,0.009803921915590763,0.02905108220875264,0.11235955056179775,0.0,zero,2020-07-29
92,0.0,0.029280505888164044,0.029280505888164044,0.012932434678077698,0.03269614242017269,0.09782608695652174,0.0,zero,2020-07-30
92,0.0,0.05273313280194998,0.05273313280194998,0.02510858979076147,0.05524908602237702,0.010869565217391304,0.0,zero,2020-07-31
92,0.0,0.03268084740266204,0.03268084740266204,0.013416856992989779,0.03852798081934453,0.06521739130434782,0.0,zero,2020-08-03
91,0.0,0.029387221671640873,0.029387221671640873,0.011904756538569927,0.03496493026614189,0.054945054945054944,0.0,zero,2020-08-04
91,0.0,0.0162672302685678,0.0162672302685678,0.0062762112356722355,0.01998203806579113,0.16483516483516483,0.0,zero,2020-08-05
92,0.0,0.0165652833878994,0.0165652833878994,0.005815625656396151,0.0214993154630065,0.14130434782608695,0.0,zero,2020-08-06
92,0.0,0.019885374000296004,0.019885374000296004,0.007287162588909268,0.025196422822773467,0.13043478260869565,0.0,zero,2020-08-07
92,0.0,0.02088373266160489,0.02088373266160489,0.007079685106873512,0.02760809510946276,0.10869565217391304,0.0,zero,2020-08-10
92,0.0,0.016804822022095323,0.016804822022095323,0.006200080504640937,0.02120948303490877,0.1956521739130435,0.0,zero,2020-08-11
91,0.0,0.02219383604824543,0.02219383604824543,0.009249743074178696,0.02588818594813347,0.10989010989010989,0.0,zero,2020-08-12
91,0.0,0.022805201821029186,0.022805201821029186,0.011494296602904797,0.02262181043624878,0.07692307692307693,0.0,zero,2020-08-13
90,0.0,0.021416222956031565,0.021416222956031565,0.008701018523424864,0.0254304088652134,0.13333333333333333,0.0,zero,2020-08-14
91,0.0,0.017712122295051813,0.017712122295051813,0.0077519589103758335,0.01992032676935196,0.10989010989010989,0.0,zero,2020-08-17
92,0.0,0.02325510960072279,0.02325510960072279,0.006911340169608593,0.032687538862228395,0.14130434782608695,0.0,zero,2020-08-18
90,0.0,0.02052995888516308,0.02052995888516308,0.009048305451869965,0.02296330686658623,0.13333333333333333,0.0,zero,2020-08-19
89,0.0,0.028263862617313864,0.028263862617313864,0.011678854934871197,0.033170015364885334,0.0898876404494382,0.0,zero,2020-08-20
91,0.0,0.029711774550378323,0.029711774550378323,0.013888978399336338,0.03164559230208397,0.054945054945054944,0.0,zero,2020-08-21
91,0.0,0.022420387715101242,0.022420387715101242,0.007776049897074699,0.029288675636053085,0.17582417582417584,0.0,zero,2020-08-24
90,0.0,0.019517661910504108,0.019517661910504108,0.006630281917750835,0.025774759985506546,0.06666666666666667,0.0,zero,2020-08-25
89,0.0,0.0228502013720572,0.0228502013720572,0.006353199947625399,0.032994002848863606,0.21348314606741572,0.0,zero,2020-08-26
89,0.0,0.02332972511649132,0.02332972511649132,0.009654243476688862,0.027350963279604918,0.1348314606741573,0.0,zero,2020-08-27
90,0.0,0.025824235659092667,0.025824235659092667,0.01243519363924861,0.026778084039688115,0.011111111111111112,0.0,zero,2020-08-28
91,0.0,0.023204386234283447,0.023204386234283447,0.008498523384332657,0.02941172569990158,0.06593406593406594,0.0,zero,2020-08-31
91,0.0,0.02472045924514532,0.02472045924514532,0.007849293760955334,0.033742330968379974,0.12087912087912088,0.0,zero,2020-09-01
91,0.0,0.01917873602360487,0.01917873602360487,0.008438842371106148,0.021479787304997444,0.06593406593406594,0.0,zero,2020-09-03
91,0.0,0.036324769258499146,0.036324769258499146,0.017093978822231293,0.038461580872535706,0.054945054945054944,0.0,zero,2020-09-04
91,0.0,0.023032234981656075,0.023032234981656075,0.00939113087952137,0.02728220820426941,0.06593406593406594,0.0,zero,2020-09-07
90,0.0,0.019835379440337426,0.019835379440337426,0.007021691650152206,0.02562737558037044,0.07777777777777778,0.0,zero,2020-09-08
92,0.0,0.016827526269480586,0.016827526269480586,0.006883206078782678,0.01988864038139582,0.16304347826086957,0.0,zero,2020-09-09
92,0.0,0.01947483993135394,0.01947483993135394,0.005124762421473861,0.028700155019760153,0.10869565217391304,0.0,zero,2020-09-10
92,0.0,0.025888356007635595,0.025888356007635595,0.009556474164128304,0.03266376368701458,0.09782608695652174,0.0,zero,2020-09-11
91,0.0,0.01900712912902236,0.01900712912902236,0.007142722140997648,0.023728813976049423,0.0989010989010989,0.0,zero,2020-09-14
91,0.0,0.015303779393434525,0.015303779393434525,0.005635245703160763,0.019337067380547523,0.17582417582417584,0.0,zero,2020-09-15
92,0.0,0.018904083222150803,0.018904083222150803,0.008326102513819933,0.02115596141666174,0.10869565217391304,0.0,zero,2020-09-16
92,0.0,0.020853871013969186,0.020853871013969186,0.008191564120352268,0.025324613787233836,0.11956521739130435,0.0,zero,2020-09-17
92,0.0,0.019986028503626588,0.019986028503626588,0.006845807656645775,0.02628044169396163,0.08695652173913043,0.0,zero,2020-09-18
92,0.0,0.015167470742017032,0.015167470742017032,0.006175604183226824,0.017983733117580416,0.14130434782608695,0.0,zero,2020-09-21
92,0.0,0.015384879801422358,0.015384879801422358,0.005396535154432058,0.0199766892939806,0.13043478260869565,0.0,zero,2020-09-22
92,0.0,0.01616540788672865,0.01616540788672865,0.00688382307998836,0.018563169613480576,0.14130434782608695,0.0,zero,2020-09-23
91,0.0,0.017016123048961163,0.017016123048961163,0.006042194552719593,0.02194785699248314,0.13186813186813187,0.0,zero,2020-09-24
91,0.0,0.022975648287683725,0.022975648287683725,0.0075117372907698154,0.03092782199382782,0.16483516483516483,0.0,zero,2020-09-25
92,0.0,0.030199272651225333,0.030199272651225333,0.013807025272399187,0.03278449475765229,0.10869565217391304,0.0,zero,2020-09-28
91,0.0,0.019379092380404472,0.019379092380404472,0.005977011285722256,0.026804162189364433,0.14285714285714285,0.0,zero,2020-09-29
91,0.0,0.02999456785619259,0.02999456785619259,0.008604206144809723,0.04278072342276573,0.10989010989010989,0.0,zero,2020-09-30
90,0.0,0.020883209444582475,0.020883209444582475,0.009390119928866625,0.022986179031431696,0.13333333333333333,0.0,zero,2020-10-01
90,0.0,0.030439919605851205,0.030439919605851205,0.011348108761012554,0.0381836216896773,0.16666666666666666,0.0,zero,2020-10-02
91,0.0,0.021597560960799456,0.021597560960799456,0.006651895586401224,0.029891330748796463,0.16483516483516483,0.0,zero,2020-10-05
91,0.0,0.023026387207210064,0.023026387207210064,0.010526392608880997,0.024999989196658134,0.12087912087912088,0.0,zero,2020-10-06
91,0.0,0.021210236940532923,0.021210236940532923,0.007782118860632181,0.026856236159801483,0.08791208791208792,0.0,zero,2020-10-07
92,0.0,0.01975294179283083,0.01975294179283083,0.006042759167030454,0.02742036525160075,0.18478260869565216,0.0,zero,2020-10-08
92,0.0,0.02663064068183303,0.02663064068183303,0.011017562355846167,0.031226156651973726,0.08695652173913043,0.0,zero,2020-10-09
92,0.0,0.02121135648339988,0.02121135648339988,0.008308220654726028,0.025806271657347703,0.11956521739130435,0.0,zero,2020-10-12
92,0.0,0.02157527543604374,0.02157527543604374,0.008469754364341497,0.026211042143404487,0.03260869565217391,0.0,zero,2020-10-13
91,0.0,0.020565300714224577,0.020565300714224577,0.007407428231090307,0.02631574496626854,0.0989010989010989,0.0,zero,2020-10-14
92,0.0,0.02211582707241178,0.02211582707241178,0.007490788586437702,0.029250076971948154,0.05434782608695652,0.0,zero,2020-10-15
92,0.0,0.02616449948400259,0.02616449948400259,0.011024346575140953,0.030280305817723275,0.07608695652173914,0.0,zero,2020-10-16
92,0.0,0.01841046395711601,0.01841046395711601,0.006109759444370866,0.024601409025490288,0.16304347826086957,0.0,zero,2020-10-19
92,0.0,0.02332213427871466,0.02332213427871466,0.008868345990777016,0.02890757657587529,0.10869565217391304,0.0,zero,2020-10-20
92,0.0,0.02298793941736222,0.02298793941736222,0.008752450346946716,0.02847097814083101,0.14130434782608695,0.0,zero,2020-10-21
92,0.0,0.020837219618260863,0.020837219618260863,0.007907753810286522,0.02585893161594868,0.14130434782608695,0.0,zero,2020-10-22
92,0.0,0.031017103046178822,0.031017103046178822,0.014675662852823734,0.032682880386710175,0.05434782608695652,0.0,zero,2020-10-23
91,0.0,0.026317818090319633,0.026317818090319633,0.010256396606564522,0.03212284296751022,0.10989010989010989,0.0,zero,2020-10-26
91,0.0,0.04499429650604725,0.04499429650604725,0.021184777840971947,0.047619037330150604,0.06593406593406594,0.0,zero,2020-10-27
91,0.0,0.023600101470947266,0.023600101470947266,0.010556621477007866,0.0260869599878788,0.0989010989010989,0.0,zero,2020-10-28
90,0.0,0.02320257443934679,0.02320257443934679,0.008769553154706955,0.028866042569279677,0.1111111111111111,0.0,zero,2020-10-29
88,0.0,0.02654044721275568,0.02654044721275568,0.009682434611022472,0.033716025203466414,0.06818181818181818,0.0,zero,2020-10-30
89,0.0,0.02658408619463444,0.02658408619463444,0.009406231343746185,0.03435570970177651,0.07865168539325842,0.0,zero,2020-11-02
90,0.0,0.02701611863449217,0.02701611863449217,0.009442029055207968,0.0351481791585684,0.1111111111111111,0.0,zero,2020-11-03
90,0.0,0.01915961299091578,0.01915961299091578,0.008093027863651514,0.022133170254528534,0.13333333333333333,0.0,zero,2020-11-04
90,0.0,0.01612141835503281,0.01612141835503281,0.0057693293783813715,0.02070417795330288,0.16666666666666666,0.0,zero,2020-11-05
90,0.0,0.04072205796837807,0.04072205796837807,0.016438658349215984,0.048566799238324174,0.08888888888888889,0.0,zero,2020-11-06
89,0.0,0.022530038468539716,0.022530038468539716,0.008836505003273487,0.027387066930532455,0.0449438202247191,0.0,zero,2020-11-09
89,0.0,0.018575593363493688,0.018575593363493688,0.006160162854939699,0.024830861017107974,0.19101123595505617,0.0,zero,2020-11-10
92,0.0,0.023419253155589105,0.023419253155589105,0.008739481214433908,0.029359543882310393,0.08695652173913043,0.0,zero,2020-11-11
92,0.0,0.019054581597447405,0.019054581597447405,0.0057080527767539024,0.026693057641387002,0.14130434782608695,0.0,zero,2020-11-12
92,0.0,0.030718114413321024,0.030718114413321024,0.013686330989003181,0.034063566848635686,0.043478260869565216,0.0,zero,2020-11-13
92,0.0,0.04001991618424655,0.04001991618424655,0.01601205300539732,0.04801572635769846,0.010869565217391304,0.0,zero,2020-11-16
91,0.0,0.02100521605461836,0.02100521605461836,0.00796178262680769,0.026086866855621338,0.12087912087912088,0.0,zero,2020-11-17
91,0.0,0.02420460805296898,0.02420460805296898,0.008579598739743233,0.03125001862645149,0.10989010989010989,0.0,zero,2020-11-18
92,0.0,0.03132232120260599,0.03132232120260599,0.008868519682437181,0.04490760304033761,0.14130434782608695,0.0,zero,2020-11-19
92,0.0,0.027324400376528505,0.027324400376528505,0.008659480605274439,0.03732983954250813,0.13043478260869565,0.0,zero,2020-11-20
91,0.0,0.023588375188410282,0.023588375188410282,0.009025271050632,0.029126208275556564,0.0989010989010989,0.0,zero,2020-11-23
91,0.0,0.024249684065580368,0.024249684065580368,0.008736559189856052,0.03102624975144863,0.07692307692307693,0.0,zero,2020-11-24
92,0.0,0.022623731009662154,0.022623731009662154,0.006964541506022215,0.03131837900727988,0.13043478260869565,0.0,zero,2020-11-25
91,0.0,0.02464618720114231,0.02464618720114231,0.00826442614197731,0.03276352211833,0.15384615384615385,0.0,zero,2020-11-26
91,0.0,0.02859731763601303,0.02859731763601303,0.014618823304772377,0.027956988662481308,0.054945054945054944,0.0,zero,2020-11-27
92,0.0,0.024459700006991648,0.024459700006991648,0.00841862941160798,0.032082141190767334,0.08695652173913043,0.0,zero,2020-11-30
92,0.0,0.03460282357409597,0.03460282357409597,0.01204087445512414,0.04512389823794366,0.06521739130434782,0.0,zero,2020-12-01
91,0.0,0.03407308552414179,0.03407308552414179,0.009146512486040592,0.04985314607620239,0.10989010989010989,0.0,zero,2020-12-02
90,0.0,0.02424647994339467,0.02424647994339467,0.00967019610106945,0.02915256768465044,0.06666666666666667,0.0,zero,2020-12-03
90,0.0,0.020037329848855742,0.020037329848855742,0.007478523533791304,0.025117612630128877,0.13333333333333333,0.0,zero,2020-12-04
91,0.0,0.02684746775776148,0.02684746775776148,0.008695651777088642,0.03630363196134567,0.04395604395604396,0.0,zero,2020-12-07
91,0.0,0.022186508402228355,0.022186508402228355,0.007092198356986046,0.03018862009048462,0.08791208791208792,0.0,zero,2020-12-08
92,0.0,0.03412938406690957,0.03412938406690957,0.01620511058717966,0.03584854695945981,0.021739130434782608,0.0,zero,2020-12-09
92,0.0,0.0331829631701112,0.0331829631701112,0.01333532016724348,0.039695286005735436,0.11956521739130435,0.0,zero,2020-12-10
92,0.0,0.03774598687887192,0.03774598687887192,0.013350075110793114,0.048791823536157616,0.07608695652173914,0.0,zero,2020-12-11
90,0.0,0.02402710467576981,0.02402710467576981,0.010683587286621332,0.02668703477829695,0.05555555555555555,0.0,zero,2020-12-14
90,0.0,0.019488169951364404,0.019488169951364404,0.004454299109056592,0.030067741684615627,0.15555555555555556,0.0,zero,2020-12-15
91,0.0,0.029243632219731808,0.029243632219731808,0.014311294071376324,0.029864676296710968,0.08791208791208792,0.0,zero,2020-12-16
92,0.0,0.04196253595873714,0.04196253595873714,0.011684483382850885,0.0605561051517725,0.06521739130434782,0.0,zero,2020-12-17
91,0.0,0.044136540964245796,0.044136540964245796,0.009999958798289299,0.068273164331913,0.16483516483516483,0.0,zero,2020-12-18
91,0.0,0.04126444924622774,0.04126444924622774,0.01264492329210043,0.05723905190825462,0.08791208791208792,0.0,zero,2020-12-21
90,0.0,0.035597195569425824,0.035597195569425824,0.015198807697743177,0.040796775743365286,0.044444444444444446,0.0,zero,2020-12-22
90,0.0,0.032666878402233125,0.032666878402233125,0.016141737811267376,0.0330502811819315,0.011111111111111112,0.0,zero,2020-12-23
90,0.0,0.047638018429279325,0.047638018429279325,0.013738242909312248,0.06779955103993415,0.022222222222222223,0.0,zero,2020-12-24
90,0.0,0.03378238184377551,0.03378238184377551,0.009179179091006517,0.04920640550553799,0.1,0.0,zero,2020-12-25
90,0.0,0.03141213385388256,0.03141213385388256,0.009308551903814077,0.044207163900136966,0.08888888888888889,0.0,zero,2020-12-28
91,0.0,0.0229579689912498,0.0229579689912498,0.0075872535817325115,0.030741430819034576,0.054945054945054944,0.0,zero,2020-12-29
91,0.0,0.031935643404722214,0.031935643404722214,0.010791361331939697,0.04228856414556503,0.13186813186813187,0.0,zero,2020-12-30
91,0.0,0.048468202352523804,0.048468202352523804,0.017777709290385246,0.061380986124277115,0.03296703296703297,0.0,zero,2020-12-31
91,0.0,0.03286464884877205,0.03286464884877205,0.007812505587935448,0.0501042865216732,0.0989010989010989,0.0,zero,2021-01-04
91,0.0,0.02655183430761099,0.02655183430761099,0.008369981311261654,0.03636370599269867,0.0989010989010989,0.0,zero,2021-01-05
91,0.0,0.031094077974557877,0.031094077974557877,0.009900985285639763,0.04238618537783623,0.10989010989010989,0.0,zero,2021-01-06
89,0.0,0.024957888014614585,0.024957888014614585,0.010471292771399021,0.02897319048643113,0.07865168539325842,0.0,zero,2021-01-07
90,0.0,0.04047893760725857,0.04047893760725857,0.014606371987611055,0.051745131239295035,0.06666666666666667,0.0,zero,2021-01-08
91,0.0,0.031459114514291286,0.031459114514291286,0.010625780560076237,0.0416666679084301,0.15384615384615385,0.0,zero,2021-01-11
92,0.0,0.028654316253960133,0.028654316253960133,0.01259655226022005,0.032115527987480165,0.05434782608695652,0.0,zero,2021-01-12
92,0.0,0.03571748631075025,0.03571748631075025,0.009104398544877768,0.053226175531744975,0.10869565217391304,0.0,zero,2021-01-13
92,0.0,0.031701323017477995,0.031701323017477995,0.00925480481237173,0.044893036410212535,0.11956521739130435,0.0,zero,2021-01-14
92,0.0,0.031698914058506486,0.031698914058506486,0.01401783898472786,0.03536215014755726,0.03260869565217391,0.0,zero,2021-01-15
92,0.0,0.09293958954513074,0.09293958954513074,0.058167992159724236,0.06954319477081299,0.021739130434782608,0.0,zero,2021-01-18
91,0.0,0.02452322281897068,0.02452322281897068,0.010416666977107525,0.02821311168372631,0.10989010989010989,0.0,zero,2021-01-19
91,0.0,0.05823611468076706,0.05823611468076706,0.024999961256980896,0.06647230684757233,0.01098901098901099,0.0,zero,2021-01-20
91,0.0,0.035702149383723736,0.035702149383723736,0.015337408520281315,0.04072948172688484,0.054945054945054944,0.0,zero,2021-01-21
91,0.0,0.032014534808695316,0.032014534808695316,0.012200252152979374,0.039628565311431885,0.07692307692307693,0.0,zero,2021-01-22
91,0.0,0.06314041279256344,0.06314041279256344,0.030882352963089943,0.06451611965894699,0.03296703296703297,0.0,zero,2021-01-25
92,0.0,0.08006856888532639,0.08006856888532639,0.045454513281583786,0.0692281112074852,0.010869565217391304,0.0,zero,2021-01-26
90,0.0,0.104249607026577,0.104249607026577,0.06928730383515358,0.06992460638284684,0.0,0.0,zero,2021-01-27
81,0.0,0.07214099913835526,0.07214099913835526,0.037610627710819244,0.06906074285507202,0.06172839506172839,0.0,zero,2021-01-28
87,0.0,0.0721524141728878,0.0721524141728878,0.03773585706949234,0.06883311420679092,0.022988505747126436,0.0,zero,2021-01-29
