n,rel_score,absE_robust,base_robust,absE_median,absE_q90,DA,pred_actual_q90_ratio,model,fold_id,test_start,test_end
1881,0.0,0.04522218555212021,0.04522218555212021,0.014705752953886986,0.061032865196466446,0.10154173312068049,0.0,zero,0,2020-04-01,2020-05-04
1915,0.0,0.0327337209135294,0.0327337209135294,0.01198396272957325,0.041499516367912305,0.09399477806788512,0.0,zero,1,2020-05-05,2020-06-02
1903,0.0,0.036973762325942516,0.036973762325942516,0.012919743545353413,0.0481080375611782,0.08775617446137678,0.0,zero,2,2020-06-03,2020-07-01
1902,0.0,0.03387558553367853,0.03387558553367853,0.010365872643887997,0.04701942577958107,0.10935856992639327,0.0,zero,3,2020-07-02,2020-07-30
1908,0.0,0.024629690963774917,0.024629690963774917,0.00928435567766428,0.030690670572221277,0.11058700209643606,0.0,zero,4,2020-07-31,2020-08-28
1920,0.0,0.021313234651461253,0.021313234651461253,0.007742976071313024,0.027140517160296463,0.11302083333333333,0.0,zero,5,2020-08-31,2020-09-29
1920,0.0,0.024569806735962638,0.024569806735962638,0.009007308632135391,0.031124996207654496,0.11041666666666666,0.0,zero,6,2020-09-30,2020-10-28
1904,0.0,0.025156349409371614,0.025156349409371614,0.008857300039380789,0.03259809873998165,0.10661764705882353,0.0,zero,7,2020-10-29,2020-11-26
1909,0.0,0.0317285468801856,0.0317285468801856,0.01134930644184351,0.04075848087668419,0.07909900471451022,0.0,zero,8,2020-11-27,2020-12-25
1913,0.0,0.04260466992855072,0.04260466992855072,0.013542795553803444,0.058123748749494546,0.07370622059592263,0.0,zero,9,2020-12-28,2021-01-26
1903,0.0,0.050735765323042865,0.050735765323042865,0.01692712865769863,0.06761727333068847,0.06095638465580662,0.0,zero,10,2021-01-27,2021-03-03
1922,0.0,0.025585706252604725,0.025585706252604725,0.00953191565349698,0.03210758119821549,0.07700312174817898,0.0,zero,11,2021-03-04,2021-04-01
1921,0.0,0.031144559383392334,0.031144559383392334,0.011764708906412125,0.03875970095396042,0.08797501301405518,0.0,zero,12,2021-04-02,2021-05-05
1915,0.0,0.03391665406525135,0.03391665406525135,0.01316685602068901,0.04149959608912468,0.05796344647519582,0.0,zero,13,2021-05-06,2021-06-03
1920,0.0,0.031991603970527666,0.031991603970527666,0.011673171073198318,0.04063686579465869,0.06979166666666667,0.0,zero,14,2021-06-04,2021-07-02
1926,0.0,0.04249064018949866,0.04249064018949866,0.015380450990051031,0.054220378398895264,0.05399792315680166,0.0,zero,15,2021-07-05,2021-08-02
1936,0.0,0.03312413766980171,0.03312413766980171,0.011512329801917076,0.04322361573576927,0.06559917355371901,0.0,zero,16,2021-08-03,2021-08-31
1943,0.0,0.02971407789736986,0.02971407789736986,0.011594143696129322,0.03623986840248108,0.07050952135872363,0.0,zero,17,2021-09-01,2021-10-01
1946,0.0,0.025985577143728733,0.025985577143728733,0.009284085594117641,0.03340298309922218,0.08941418293936279,0.0,zero,18,2021-10-04,2021-11-01
1944,0.0,0.04123592413961888,0.04123592413961888,0.014492759481072426,0.0534863293170929,0.04989711934156379,0.0,zero,19,2021-11-02,2021-11-30
1948,0.0,0.03578746924176812,0.03578746924176812,0.013090259861201048,0.04539441876113414,0.060061601642710474,0.0,zero,20,2021-12-01,2021-12-29
1920,0.0,0.049544862844049936,0.049544862844049936,0.016209098510444164,0.06667152866721154,0.0484375,0.0,zero,21,2021-12-30,2022-01-28
1941,0.0,0.03132221754640341,0.03132221754640341,0.011904719285666943,0.03883499652147293,0.062339000515198355,0.0,zero,22,2022-02-07,2022-03-07
1949,0.0,0.029701273329555994,0.029701273329555994,0.011083743534982204,0.03723505958914758,0.055926115956900974,0.0,zero,23,2022-03-08,2022-04-05
1948,0.0,0.0558525824919343,0.0558525824919343,0.021413330920040607,0.06887850314378738,0.05082135523613963,0.0,zero,24,2022-04-06,2022-05-09
1943,0.0,0.0519206415861845,0.0519206415861845,0.01752912439405918,0.06878303438425064,0.06124549665465775,0.0,zero,25,2022-05-10,2022-06-07
1948,0.0,0.0552083533257246,0.0552083533257246,0.020833346992731094,0.06875001266598701,0.04568788501026694,0.0,zero,26,2022-06-08,2022-07-06
1943,0.0,0.032335424982011314,0.032335424982011314,0.011842052452266216,0.040986745059490196,0.0782295419454452,0.0,zero,27,2022-07-07,2022-08-04
1949,0.0,0.02599778044968844,0.02599778044968844,0.009842519648373127,0.03231052160263063,0.06926629040533606,0.0,zero,28,2022-08-05,2022-09-06
1950,0.0,0.04777068123221398,0.04777068123221398,0.01589067652821541,0.06376000940799714,0.06102564102564102,0.0,zero,29,2022-09-07,2022-10-05
1945,0.0,0.05510164350271225,0.05510164350271225,0.020710058510303497,0.06878316998481751,0.06940874035989718,0.0,zero,30,2022-10-06,2022-11-03
710,0.0,0.07361376322805882,0.07361376322805882,0.038839684799313545,0.06954815685749054,0.03380281690140845,0.0,zero,31,2022-11-04,2022-11-15
1881,-0.0004197754345247606,0.04524116871471051,0.04522218555212021,0.014617383509175852,0.06124757041106932,0.5364167995746943,0.00722149347112944,global_train_mean,0,2020-04-01,2020-05-04
1915,0.007100595601853943,0.03250129199877848,0.0327337209135294,0.011915827140910551,0.041170929715735854,0.5634464751958225,0.010620568047906101,global_train_mean,1,2020-05-05,2020-06-02
1903,0.004869739173721133,0.03679370974714402,0.036973762325942516,0.012940794258611277,0.04770583097706549,0.4324750394114556,0.009161638260137158,global_train_mean,2,2020-06-03,2020-07-01
1902,-0.009916948459616437,0.03421152796945535,0.03387558553367853,0.010604504524962977,0.04721404688898474,0.40904311251314407,0.009373752023403221,global_train_mean,3,2020-07-02,2020-07-30
1908,0.00763349475111863,0.024441680347081267,0.024629690963774917,0.009257777623133734,0.03036780544789507,0.54979035639413,0.01436099079371487,global_train_mean,4,2020-07-31,2020-08-28
1920,-0.0019539572000393246,0.021354879799764605,0.021313234651461253,0.007848172914236784,0.027013413771055643,0.49270833333333336,0.01623950033588053,global_train_mean,5,2020-08-31,2020-09-29
1920,-0.013107136691190568,0.024891846551327035,0.024569806735962638,0.009222351043717936,0.0313389910152182,0.4036458333333333,0.014160594096143647,global_train_mean,6,2020-09-30,2020-10-28
1904,-0.009127257431388092,0.025385957886464895,0.025156349409371614,0.008974125172244385,0.03282366542844102,0.5372899159663865,0.01352067925973936,global_train_mean,7,2020-10-29,2020-11-26
1909,0.0032729882622617446,0.03162469971866813,0.0317285468801856,0.011404638149542734,0.0404401231382508,0.5316919853326348,0.010813662041872982,global_train_mean,8,2020-11-27,2020-12-25
