n,rel_score,absE_robust,base_robust,absE_median,absE_q90,DA,pred_actual_q90_ratio,model
60445,0.04477518130782343,0.03600317893142346,0.037690790928900236,0.012537383940070868,0.046931589982705184,0.5182728099925552,0.19321574978809897,ensemble_mean_cal_each_train_cal_clip
60445,0.04475862845586753,0.03600380282150581,0.037690790928900236,0.012526866979897022,0.046953871683217574,0.5182728099925552,0.19321574978809897,ensemble_mean_cal_each_train_cal
60445,0.04391078626225775,0.036035758664365855,0.037690790928900236,0.012514317932073027,0.047042881464585656,0.5179419306807842,0.18602851855850053,ensemble_mean_raw_train_cal
60445,0.03922270264579464,0.03621245624381117,0.037690790928900236,0.012470755726099014,0.04748340103542432,0.5182728099925552,0.15457259908874946,ensemble_mean_train_cal_each
60445,0.03860105055618035,0.03623588680275133,0.037690790928900236,0.012497553136199713,0.04747666733310325,0.5174786996443047,0.1566742123820533,ensemble_median_train_cal
60445,0.037941586944219674,0.03626074250787496,0.037690790928900236,0.012465705396607518,0.04759007422253489,0.5179419306807842,0.14882281781371934,ensemble_mean_raw
60445,0.035966423928754376,0.03633518796414136,0.037690790928900236,0.01248481310904026,0.0477007497102022,0.5121349987592025,0.16497618550624815,single_seed43_train_cal
60445,0.03498325492934695,0.0363722443813458,0.037690790928900236,0.012493124464526772,0.047758239833638055,0.5121349987592025,0.15712018479632378,single_seed43_raw
60445,0.0005355753019830045,0.03767060467216651,0.037690790928900236,0.01261463199625723,0.05011194535181856,0.47456365290760194,0.008775590384781049,global_train_mean
60445,0.0,0.037690790928900236,0.037690790928900236,0.012578609399497509,0.050224363058805455,0.0746132848043676,0.0,zero
60445,-0.0011565200999632541,0.03773438108619302,0.037690790928900236,0.012642702989978716,0.05018335619242862,0.4681280502936554,0.02977360598981763,stock_train_mean
60445,-0.0031307975868433147,0.037808793166186655,0.037690790928900236,0.012823173310607672,0.04997123971115797,0.482604020183638,0.08970625967521526,ridge_last_step
60445,-0.07294869091583411,0.040440284786745904,0.037690790928900236,0.01527235098183155,0.05033586760982871,0.4615600959550004,0.4248748468309576,lagged_stock_mean5_val_only
