seed,candidate,rel_score,q90_abs_error,daily_q90_abs_error_q90,daily_q90_abs_error_max,spike_days_ge_5pct,spike_days_ge_7pct,spike_days_ge_8pct,prediction_actual_abs_q90_ratio,directional_accuracy
52_full,tail_loss,0.0275129987523686,0.0478874770720722,0.0631352865695953,0.1051579147577285,161,25,9,0.191909747497116,0.5043990209697692
52_full,tailstress,0.0346287314579371,0.0478326436365023,0.0627374732494354,0.1265281662344932,162,33,16,0.1959599185485478,0.5054078190117087
52_full,stressaux_w20,0.0329995223544843,0.0479582146625034,0.0637151245772838,0.0962374508380889,166,29,12,0.1709965981239485,0.5104848845670438
52_full,futurestress_w10,0.0328100530494379,0.0476558676513377,0.0635199953615665,0.1181199498474598,159,29,9,0.1667381315758014,0.5042667195872197
52_full,futurestress_w20,0.0129857352580717,0.0488781141873914,0.0645982989668846,0.0967484265565872,163,31,5,0.1371924437426543,0.4954852153205001
43_screen,futurestress_w10_screen,-0.0043360763346511,0.0498104827129282,0.0659189417958259,0.081524047255516,161,30,1,0.1259696413787356,0.4823046900840114
43_screen,futurestress_w20_screen,0.0117270275962448,0.049269264533359,0.0652038031816482,0.0922859571874141,166,43,11,0.1253921375104623,0.4889197592114838
71_screen,futurestress_w10_screen,0.0022400553280189,0.049900152022019,0.065342104434967,0.0875017940998077,172,43,9,0.1138849392759182,0.4813620427333465
71_screen,futurestress_w20_screen,-0.0076702875768168,0.0505906160455197,0.0656965062022209,0.0777296759188175,172,39,0,0.1218589147394235,0.4652378117351326
