strategy,n_seeds,rel_score_mean,rel_score_std,daily_max_mean,daily_max_std,spike_days_ge_5pct_mean,spike_days_ge_5pct_std,spike_days_ge_7pct_mean,spike_days_ge_7pct_std,spike_days_ge_8pct_mean,spike_days_ge_8pct_std,directional_accuracy_mean,directional_accuracy_std,pred_actual_q90_ratio_mean,pred_actual_q90_ratio_std,coverage_mean,coverage_std
mag_shrink_g2,3,0.029071070163232,0.005862138156786959,0.11124244483333334,0.004924641303708436,158.66666666666666,6.110100926607786,32.333333333333336,4.041451884327381,11.666666666666666,3.511884584284246,0.5094052444370916,0.0019491712420006853,0.18407881575689147,0.016483262891649045,1.0,0.0
mag_shrink_g1,3,0.028904805459944893,0.006291790164433389,0.11124244483333334,0.004924641303708436,159.33333333333334,5.033222956847166,33.0,5.0,11.666666666666666,3.511884584284246,0.5094052444370916,0.0019491712420006853,0.18407881575689147,0.016483262891649045,1.0,0.0
clip,3,0.028729163510833877,0.0056830513023776634,0.10925860429999999,0.004208163485859479,159.0,4.0,36.0,5.5677643628300215,11.666666666666666,3.511884584284246,0.5094052444370916,0.0019491712420006853,0.18407881575689147,0.016483262891649045,1.0,0.0
baseline,3,0.028370003555545864,0.005315289340354115,0.11124244483333334,0.004924641303708436,159.0,4.0,36.0,5.5677643628300215,11.666666666666666,3.511884584284246,0.5094052444370916,0.0019491712420006853,0.18407881575689147,0.016483262891649045,1.0,0.0
vol_mag_shrink,3,0.028003257720357094,0.00699032018824591,0.10704521586518846,0.008019439744388795,159.0,4.358898943540674,32.666666666666664,5.507570547286102,11.0,3.605551275463989,0.5094052444370916,0.0019491712420006853,0.17661103556895955,0.016438931278075112,1.0,0.0
clip_vol_shrink,3,0.02745161525947056,0.006164470597279623,0.10455904941333573,0.007183606817443664,159.0,3.605551275463989,35.333333333333336,5.686240703077327,11.0,3.605551275463989,0.5094052444370916,0.0019491712420006853,0.17661103556895955,0.016438931278075112,1.0,0.0
vol_shrink,3,0.02719977236089462,0.00590863925712269,0.10704521586518846,0.008019439744388795,159.0,3.605551275463989,35.333333333333336,5.686240703077327,11.0,3.605551275463989,0.5094052444370916,0.0019491712420006853,0.17661103556895955,0.016438931278075112,1.0,0.0
clip_vol_abstain,3,0.014755644490690667,0.00501760812819416,0.09068465399999999,0.004449097605815474,161.66666666666666,2.081665999466133,13.666666666666666,4.509249752822894,2.3333333333333335,1.1547005383792515,0.43402542256045445,0.0015374617369452012,0.13913171393546578,0.012669097578062088,0.8440069484655472,0.0
vol_abstain,3,0.014688328966316075,0.005007989076577107,0.09068465399999999,0.004449097605815474,161.66666666666666,2.081665999466133,13.666666666666666,4.509249752822894,2.3333333333333335,1.1547005383792515,0.43402542256045445,0.0015374617369452012,0.13913171393546578,0.012669097578062088,0.8440069484655472,0.0
