code,rows,rel_score,base_score,abs_score,error_mean,error_abs_mean,error_q25,error_q75
VHM,292,0.08065577603513263,0.049431859608739616,0.045444894611136995,0.0008629934163764119,0.022451981902122498,-0.014598614536225796,0.012765867169946432
TPB,292,0.05571440382339621,0.027672520559281117,0.026130762574030096,0.0012854990782216191,0.01518953312188387,-0.008083831518888474,0.012516787275671959
DGW,292,0.055395201650555115,0.03732920885086061,0.0352613497991115,0.0019597546197474003,0.019757898524403572,-0.01104003470391035,0.01688570622354746
PHR,290,0.05025905708729039,0.03476406028494239,0.033016851394495464,0.0005550691857933998,0.018202336505055428,-0.014596458291634917,0.013280323473736644
VIC,292,0.04306792121680714,0.0496610295958817,0.04752223228570074,-0.002674759365618229,0.024116601794958115,-0.018821956589818,0.012466343818232417
VSC,289,0.04087408200539577,0.054273953661322594,0.052055555628612644,0.0005279293982312083,0.026166172698140144,-0.01970120519399643,0.018266193568706512
CII,292,0.039736692335509805,0.04974297024309636,0.04776634913869202,0.0015199740882962942,0.023925498127937317,-0.014570389175787568,0.01858539367094636
HDC,292,0.035592887843569176,0.03987170727923513,0.03845255807391369,0.0031780318822711706,0.02021350897848606,-0.010031988378614187,0.016883563715964556
NLG,292,0.029798433147266712,0.038679108023643494,0.037526531209005044,0.00317717669531703,0.01966341771185398,-0.010471721645444632,0.017358277458697557
VIX,292,0.027987104708987243,0.05104735027998686,0.04961868274258452,0.002676812233403325,0.02558944933116436,-0.01599667500704527,0.02134348126128316
SIP,289,0.02791796442713701,0.03045782390981913,0.029607503465376796,0.0017570657655596733,0.01701962575316429,-0.011501634493470192,0.012823473662137985
MSN,292,0.023802759815094388,0.025370775908231766,0.024766881422965542,0.0005813013995066285,0.014343981631100178,-0.009933755965903401,0.009815750876441598
BSI,292,0.021827679629544572,0.03216596338897944,0.03146385504514913,0.002585754729807377,0.01724005490541458,-0.009688929421827197,0.014759122161194682
ANV,292,0.01835629623378454,0.04123633019626142,0.04047938390358469,0.0009160233894363046,0.021348293870687485,-0.013327518245205283,0.0176074942573905
SZC,290,0.01657356353942996,0.03164312224835157,0.031118682951182565,0.0022973534651100636,0.01659441366791725,-0.010383346816524863,0.013567061396315694
TCB,292,0.016380692519860296,0.026756638567894713,0.026318346298648994,0.00014319689944386482,0.01446074340492487,-0.009555885335430503,0.010644633555784822
VCG,292,0.016187935555308508,0.029572392161935575,0.02909367618340185,9.028613567352295e-05,0.016001416370272636,-0.01134792622178793,0.011313610710203648
BVH,292,0.01579352743401541,0.034940112289041286,0.034388284667056734,-0.0001525271072750911,0.018200436607003212,-0.01157328113913536,0.01380457985214889
KBC,289,0.01569645799326913,0.031813750416040426,0.0313143872190267,-3.681865564431064e-05,0.01769007183611393,-0.013429926708340645,0.012504352256655693
GMD,290,0.013458066839387328,0.02950849616900087,0.029111368855228654,0.0009494489640928805,0.016367269679903984,-0.008316559949889779,0.012637705309316516
GEX,291,0.012944311393009444,0.05186246894299984,0.05119114499539137,0.002027810551226139,0.0258160587400198,-0.016882709227502346,0.020975012332201004
DPM,290,0.012433967977725113,0.028106596507132063,0.027757119986199542,-0.0007042787037789822,0.014791881665587425,-0.00984704028815031,0.009860163787379861
