variant,split,n_obs,n_days,rel_score,median_abs_error,q90_abs_error,daily_q90_abs_error_median,daily_q90_abs_error_q90,daily_q90_abs_error_max,actual_abs_q90,prediction_abs_q90,prediction_actual_abs_q90_ratio,directional_accuracy,spike_days_ge_5pct,spike_rate_ge_5pct,spike_days_ge_7pct,spike_rate_ge_7pct,spike_days_ge_8pct,spike_rate_ge_8pct
plain_global_weighted_mild_tail35_futurestress_w10,train,129720,1970,0.0018869921923765354,0.00995306286495179,0.036891046469099825,0.03146151257678867,0.04873261574655771,0.07929537817835808,0.037036970257759094,0.0035779113881289977,0.09660378166001415,0.4377736663583102,177,0.08984771573604061,19,0.009644670050761422,0,0.0
plain_global_weighted_mild_tail35_futurestress_w10,val,60468,659,0.002240055328018964,0.012654827674850821,0.049900152022019036,0.03697797805070877,0.06534210443496705,0.08750179409980774,0.05022141486406329,0.005719462782144548,0.11388493927591828,0.48136204273334654,172,0.26100151745068284,43,0.06525037936267071,9,0.013657056145675266
plain_global_weighted_mild_tail35_futurestress_w20,train,129720,1970,-0.006203967661894572,0.010090481431689113,0.03707662177039312,0.03154070861637592,0.05010408125817776,0.08073922246694565,0.037036970257759094,0.004611307755112649,0.12450553387656213,0.4251310514955288,200,0.10152284263959391,19,0.009644670050761422,1,0.0005076142131979696
plain_global_weighted_mild_tail35_futurestress_w20,val,60468,659,-0.00767028757681687,0.0126831098459661,0.05059061604551972,0.03767341375350952,0.06569650620222094,0.07772967591881752,0.05022141486406329,0.006119927112013105,0.12185891473942351,0.4652378117351326,172,0.26100151745068284,39,0.05918057663125948,0,0.0
