lag,train_ar,val_ar
1,0.10108016240382091,0.10946271672641812
2,0.06985937687620729,0.024139230935473505
3,0.045918536779537195,0.03911272571880777
5,0.009872553504827311,0.07442684162321064
10,0.0643635523702895,0.007596726123192817
