feature,pearson,spearman,n
market_q90_today_lag1,0.07386111686820947,0.04857306269597817,2004
market_negative_ratio_ewm5_lag1,-0.07207610889334128,-0.04348833976515062,2005
market_return_today_lag1,0.06697166788266888,0.029702973426729555,2004
market_negative_ratio_today_lag1,-0.05897445004217106,-0.023434380851800093,2005
market_breadth_today_lag1,0.057905147250240735,0.030769166349794326,2005
market_return_lag1_20,0.04426346468010138,0.04737369400228349,1995
market_return_today_lag2,0.04335910406004091,0.02553028419767234,2003
market_q10_today_lag1,0.04312346572538428,0.01179836684482929,2004
market_abs_q90_today_lag1,0.040380815751505726,0.07059339164830786,2004
market_volatility_lag1_20,-0.037751503353513724,-0.00015573412720872398,1995
market_return_lag1_5,0.03655076491089312,0.022090888817036476,2002
market_abs_q90_ewm5_lag1,0.02734228638143035,0.062434163946637575,2004
