name,n_features,n_train,n_val,r2_train,r2_val,rmse_val,n_tail_val,n_normal_val,r2_tail_val,r2_normal_val
ar1_only,1,2004,659,0.004485204298986578,-0.0016282800686775456,0.01602561936790034,29,630,-0.4224179525547609,-0.018240382877437122
ar1_ar2,2,2003,659,0.005895833291839514,-0.0006750859871418324,0.016017992206314377,29,630,-0.41223856362358546,-0.0218628661114737
rolling_returns,2,1995,659,0.0022154731057354438,0.0008948271939372976,0.016005422328172602,29,630,-0.40932366741722714,-0.020623514364904505
vol_only,1,1995,659,0.0014251760054503348,-0.0072805676494185345,0.016070772834740253,29,630,-0.39709957707162213,-0.04133384337852397
tail_only,3,2004,659,0.005909805074749697,0.0025728384992665942,0.01599197601309999,29,630,-0.4170328698147505,-0.013667356794734742
tail_ewm,2,2004,659,0.005483490496984822,0.003001507420612004,0.01598853917074936,29,630,-0.4094285632046337,-0.016870925480538812
combined_minimal,3,1995,659,0.005882501133024132,-0.006271421069398153,0.016062720545262133,29,630,-0.41344228405955397,-0.03106032410572168
combined_full,12,1995,659,0.014320173968579208,-0.013430078100312715,0.01611975472246988,29,630,-0.4073138440612136,-0.04681470991537018
