Date,market_return_actual,market_return_today,market_q10_today,market_q90_today,market_negative_ratio_today,market_abs_q90_today,market_breadth_today,n_stocks,market_return_today_lag1,market_return_today_lag2,market_q10_today_lag1,market_q10_today_lag2,market_q90_today_lag1,market_q90_today_lag2,market_negative_ratio_today_lag1,market_negative_ratio_today_lag2,market_abs_q90_today_lag1,market_abs_q90_today_lag2,market_breadth_today_lag1,market_breadth_today_lag2,market_return_lag1_5,market_return_lag1_20,market_volatility_lag1_20,market_negative_ratio_ewm5_lag1,market_abs_q90_ewm5_lag1
2012-03-19,-0.0232558139534884,,,,0.0,,0.0,0,,,,,,,,,,,,,,,,,
2012-03-20,0.024309451160011222,-0.023255813953488413,-0.023255813953488413,-0.023255813953488413,0.018518518518518517,0.023255813953488413,0.0,1,,,,,,,0.0,,,,0.0,,,,,0.0,
2012-03-21,0.005197964250088364,0.016341171126026996,0.0,0.045952504362672064,0.07692307692307693,0.04678520463417981,0.75,52,-0.023255813953488413,,-0.023255813953488413,,-0.023255813953488413,,0.018518518518518517,0.0,0.023255813953488413,,0.0,0.0,,,,0.006172839506172839,0.023255813953488413
2012-03-22,0.010195494933274396,0.005549125751209788,-0.01913463312989769,0.04436785603075469,0.33962264150943394,0.04477611767039073,0.4528301886792453,53,0.016341171126026996,-0.023255813953488413,0.0,-0.023255813953488413,0.045952504362672064,-0.023255813953488413,0.07692307692307693,0.018518518518518517,0.04678520463417981,0.023255813953488413,0.75,0.0,,,,0.0297562519784742,0.031098944180385547
2012-03-23,0.01104550353489965,0.019735706197129103,-0.01035805055847947,0.04638889700942622,0.2830188679245283,0.04638889700942622,0.5660377358490566,53,0.005549125751209788,0.016341171126026996,-0.01913463312989769,0.0,0.04436785603075469,0.045952504362672064,0.33962264150943394,0.07692307692307693,0.04477611767039073,0.04678520463417981,0.4528301886792453,0.75,-0.0004551723587505431,,,0.13304504848879412,0.035658002010387276
2012-03-26,-0.022536932151659302,0.01084095717314227,-0.018416601129575626,0.04298172064226154,0.2545454545454545,0.04338424649073711,0.5818181818181818,54,0.019735706197129103,0.005549125751209788,-0.01035805055847947,-0.01913463312989769,0.04638889700942622,0.04436785603075469,0.2830188679245283,0.33962264150943394,0.04638889700942622,0.04477611767039073,0.5660377358490566,0.4528301886792453,0.004592547280219368,,,0.18303632163403885,0.03923496701006693
2012-03-27,-0.0012526015127022215,-0.02253693215165934,-0.04963865101588438,0.0015625408879805162,0.7454545454545455,0.04963865101588438,0.10909090909090909,55,0.01084095717314227,0.019735706197129103,-0.018416601129575626,-0.01035805055847947,0.04298172064226154,0.04638889700942622,0.2545454545454545,0.2830188679245283,0.04338424649073711,0.04638889700942622,0.5818181818181818,0.5660377358490566,0.005842229258803949,,,0.2068726992711774,0.04061806017029033
2012-03-28,-0.014578495930363677,-0.0012757978370115202,-0.03303299609459086,0.020514090431701406,0.35185185185185186,0.039764135437212314,0.4444444444444444,54,-0.02253693215165934,0.01084095717314227,-0.04963865101588438,-0.018416601129575626,0.0015625408879805162,0.04298172064226154,0.7454545454545455,0.2545454545454545,0.04963865101588438,0.04338424649073711,0.10909090909090909,0.5818181818181818,0.005986005619169764,,,0.3863999813323001,0.04362492378548835
2012-03-29,-0.0061347939938873495,-0.01472665550848932,-0.04273552354142614,0.012816915629248462,0.6727272727272727,0.04380950180488339,0.16363636363636364,55,-0.0012757978370115202,-0.02253693215165934,-0.03303299609459086,-0.04963865101588438,0.020514090431701406,0.0015625408879805162,0.35185185185185186,0.7454545454545455,0.039764135437212314,0.04963865101588438,0.4444444444444444,0.10909090909090909,0.00246261182656206,,,0.3748839381721507,0.04233799433606301
2012-03-30,0.020398035248299036,-0.0061347939938873625,-0.042602671023131686,0.03063100580895047,0.5454545454545454,0.04464348408496068,0.2727272727272727,55,-0.01472665550848932,-0.0012757978370115202,-0.04273552354142614,-0.03303299609459086,0.012816915629248462,0.020514090431701406,0.6727272727272727,0.35185185185185186,0.04380950180488339,0.039764135437212314,0.16363636363636364,0.4444444444444444,-0.0015925444253777614,,,0.47416504969052475,0.042828496825669804
