candidate,split,n_obs,n_days,rel_score,q90_abs_error,daily_q90_abs_error_q90,daily_q90_abs_error_max,spike_days_ge_7pct,spike_days_ge_8pct,prediction_actual_abs_q90_ratio,directional_accuracy
base,train,129720,1970,0.02035249342978729,0.03628932192,0.0483846543363,0.0818957954,17,2,0.14606068017983115,0.4728106691335183
weighted,train,129720,1970,0.023736406912979513,0.03605190054600001,0.04837834249800002,0.08958613900000001,18,7,0.16021532727974241,0.47490749306197966
instance,train,129720,1970,0.010133704071115468,0.03662837993000001,0.04922165761055,0.0788666332,11,0,0.10751318290886112,0.4576626580326858
tail_loss,train,129720,1970,0.027217014556832342,0.035728677334300005,0.04815640106299999,0.08392882170000002,16,3,0.1953300647974173,0.4770582793709528
tailstress,train,129720,1970,0.03238855188205503,0.0355465312,0.047745402524,0.091110044,12,1,0.2067658990462773,0.484736355226642
tailstress_past,train,129720,1970,0.023019204791180803,0.03596448311000001,0.04834748933970001,0.08099409930000001,11,1,0.14760922937270515,0.4706753006475486
simplex_rel,train,129720,1970,0.03559221082672637,0.035580138690000006,0.047550247323019997,0.08432294765000001,10,1,0.1725376771101956,0.48770428615479494
simplex_tail,train,129720,1970,0.03517327855417529,0.03551582470185001,0.047472447903300005,0.0871350211,12,1,0.18556854070405868,0.4872648781991983
gate_disagreement,train,129720,1970,0.032606137646286504,0.035439786370000004,0.047918333724000034,0.091110044,13,1,0.2007297135807816,0.47947887758248536
conservative_disagreement,train,129720,1970,0.027138323111244866,0.03584080673560001,0.04778918437700003,0.08392882170000002,16,3,0.200709548594283,0.48247764415664507
gate_tailstress_abs,train,129720,1970,0.03311150514326178,0.0354148804,0.04766175905,0.091110044,11,1,0.21259761530168372,0.4811517113783534
conservative_tailstress_abs,train,129720,1970,0.026766235687655904,0.035866880143,0.04819218063060006,0.08392882170000002,17,3,0.191186518227598,0.4814600678384212
gate_mean_positive_gap,train,129720,1970,0.028826466952115437,0.03563257717,0.047556302130000006,0.091110044,15,1,0.20137679621200114,0.47886216466234965
conservative_mean_positive_gap,train,129720,1970,0.03063857489427435,0.03566196648300002,0.04813793429600001,0.08392882170000002,11,2,0.20369524396839164,0.4843509096515572
base,val,60468,659,0.015389949408107784,0.04934147872000002,0.065853098164,0.09623698750000001,38,9,0.13606188886541346,0.49631209896143413
weighted,val,60468,659,0.027054649941365416,0.048347814765000004,0.063896091468,0.1218774715,41,17,0.14873338584997373,0.5040517298405768
instance,val,60468,659,0.006127529535743914,0.04989407954000001,0.0667011482772,0.0854276726,37,1,0.09491686505663595,0.4925415095587749
tail_loss,val,60468,659,0.027512996420494762,0.047887477022000025,0.06313528789680001,0.1051579154,25,9,0.1919097456893444,0.5043990209697692
tailstress,val,60468,659,0.03462873284250323,0.047832642950000004,0.06273747156000005,0.1265281635,33,16,0.19595991033713414,0.5054078190117087
tailstress_past,val,60468,659,0.022711699311722344,0.0484621907,0.064757372712,0.114690822,24,8,0.14107547977078003,0.49751934907719786
simplex_rel,val,60468,659,0.031978367893254256,0.04806764983800003,0.06289239148900007,0.11152410715,33,10,0.1578797632088228,0.5096083879076536
simplex_tail,val,60468,659,0.03568875960543627,0.047817885878000004,0.06300399506080001,0.11770258315,30,13,0.1717730526075916,0.5087484289210822
gate_disagreement,val,60468,659,0.031712084541445695,0.047695467590000006,0.06280835194800002,0.1265281635,34,16,0.19995776263978665,0.49993384930872525
conservative_disagreement,val,60468,659,0.0293606528216952,0.04800702936000001,0.062803755968,0.1051579154,24,9,0.18747991631163746,0.5098729906727525
gate_tailstress_abs,val,60468,659,0.03174796265379587,0.04765535841600001,0.062823757856,0.1265281635,34,16,0.20841574513896974,0.5022656611761593
conservative_tailstress_abs,val,60468,659,0.031317570094584135,0.04804393046,0.062775489232,0.1051579154,24,9,0.17523871604326807,0.5076238671694119
gate_mean_positive_gap,val,60468,659,0.027514238244124134,0.048037105440000005,0.062836618684,0.1265281635,36,14,0.20164789422670001,0.5065158430905603
conservative_mean_positive_gap,val,60468,659,0.035895390052116394,0.04767165703000001,0.062585882952,0.0995701295,21,11,0.1847047356497129,0.5089303433220878
