error,base
-0.00656866137,-0.007092143
0.00714074531,0.006993044
0.06492584484,0.06474817
0.060072244000000004,0.057142783
0.0462627403,0.048611093
0.018311749500000002,0.027027082
-0.009455906,0.0
-0.040153562,-0.033112586
-0.044101183399999994,-0.03947372
-0.051432421,-0.047297284
0.0005376338,0.0
0.0031349667999999997,0.0068493513
0.06084536499999999,0.06382985
0.0121910587,0.013698613
0.046619173,0.054421786
0.035355786,0.039999947
-0.0206990907,-0.013513497
-0.101970541,-0.09677419
-0.1027857951,-0.10256406
-0.1059040079,-0.10273973
-0.06381256199999999,-0.071428575
-0.0601673526,-0.057142876
0.0033502326999999997,0.0076336283
-0.016310071,-0.023076944
-0.050826344999999995,-0.045454588
-0.0433282178,-0.03787879
-0.0098542843,-0.007874058
0.021998736,0.015872996
0.0476777546,0.047244035
0.025316798,0.031746097
-0.0002159964,0.0
0.010814271,0.015037674
0.0703227913,0.07692308
0.0524946494,0.054687586
-0.023743984,-0.022222241
-0.040172127999999994,-0.035714287
-0.012085916,-0.0074074464
-0.010346631700000001,-0.007575798
-0.0246888307,-0.022222241
-0.0415106935,-0.037313435
-0.0337736845,-0.030534312
-0.04448703314,-0.045454588
-0.0276847806,-0.023255836
0.0053567219999999995,0.007873953
0.014304381500000001,0.015872996
-0.015580231580000001,-0.015872996
-0.040883858099999996,-0.039062504
-0.053865679599999994,-0.04687494
-0.0438039692,-0.040322583
0.0061577563,0.008130125
-0.00774892763,-0.008196765
0.045955974,0.050420213
-0.0285317125,-0.02419357
-0.044371938799999996,-0.041322317
-0.0859740784,-0.088000044
-0.0527837776,-0.049586713
-0.0329471265,-0.034482714
-0.012462164,-0.017543837
-0.045150767200000004,-0.043478318
-0.039481522,-0.0357143
0.0017014877,0.0
0.0289069284,0.027272694
0.013854305,0.018518494
-0.0032882353,0.0
0.0488887065,0.053097397
0.0805006098,0.0818182
0.06157755497,0.062499978
0.046032753999999995,0.050420213
0.022946049000000003,0.033613402
0.0572949913,0.05882351
-0.017543021500000002,-0.016000085
0.003091404,0.008130125
0.005924503000000001,0.00793655
0.028086217000000004,0.03252039
0.0254434221,0.02419357
-0.004278244,0.0
-0.021045861399999997,-0.015748011
-0.0172457475,-0.015748011
-0.0198962726,-0.015748011
0.017326937,0.023999916
0.035779692,0.04
0.04725261076,0.047999937
0.0422718058,0.046875045
0.022546855999999997,0.03076919
0.010021872300000002,0.015267156
-0.062077376499999996,-0.059701513
-0.049572211000000005,-0.04477616
-0.040517830500000004,-0.037593987
0.0139893824,0.015872996
-0.0137102264,-0.01562498
-0.0267747192,-0.02343742
-0.043722370399999995,-0.039062504
-0.0357854342,-0.031745993
-0.02477885276,-0.02400002
-0.0255162387,-0.024390161
-0.0276910202,-0.024590187
-0.018883288399999996,-0.016393421
-0.009841755800000001,-0.008333378
-0.0062229895,-0.0084034065
-0.0694327966,-0.066666685
-0.1210294467,-0.117647074
-0.13644390139999998,-0.13559316
-0.0736671186,-0.0714286
-0.00939144797,-0.009523798
0.014941981699999999,0.009803909
-0.0030596913,0.0
-0.024858478,-0.019230746
-0.0221085512,-0.019417452
-0.029181141100000002,-0.028846117
-0.0452285286,-0.0392157
-0.0412780477,-0.039603975
-0.0417778777,-0.039603975
0.0086947211,0.010204068
0.0611223974,0.06185566
0.03790605,0.041237127
-0.0012601416,0.0
-0.0225713352,-0.019417452
-0.016890575,-0.009901042
-0.0030697319,0.0
-0.0428971805,-0.039603975
-0.033172908200000004,-0.029999962
-0.0419788928,-0.040404055
-0.0445275663,-0.041237127
-0.0632580436,-0.06185566
-0.08554953059999999,-0.08421049
-0.073175408,-0.07526879
-0.00030317862,0.0
0.031351277999999996,0.034482714
0.059837792699999996,0.058139537
-0.026343758300000002,-0.021978065
-0.036164304,-0.03333329
-0.036530586,-0.03296706
-0.0370038314,-0.033707824
-0.0370806154,-0.03448279
-0.0712385263,-0.068181805
-0.0735504153,-0.06976743
-0.0486333046,-0.04761899
0.0334111939,0.03658532
0.1232046014,0.12499992
0.1234261476,0.12499992
0.0419902237,0.047058843
-0.0271013264,-0.022222195
-0.058687626199999995,-0.05555556
-0.0726015644,-0.06741572
-0.0467823674,-0.04545456
-0.049023373,-0.047058765
-0.0350194509,-0.036144532
-0.07159397303000001,-0.07142856
-0.015452437,-0.012345663
-0.012637593740000001,-0.012500066
-0.010397818900000001,-0.012820496
-0.0131651621,-0.012500066
0.0073780354999999995,0.012658295
0.0642088364,0.064935066
0.037989502895,0.03797472
0.032047687299999995,0.03749995
0.007957900300000001,0.012195107
0.015034743,0.012195107
-0.041393453,-0.036144532
-0.0389399086,-0.036144532
-0.07510426669999999,-0.07228915
-0.040363818999999995,-0.03750003
-0.0527220814,-0.050000016
0.023857005,0.025973992
0.0899074168,0.09090906
0.14156381980000002,0.14473683
0.11136840199999999,0.11392408
0.030880893,0.03571432
0.064098567,0.0689655
0.0307360262,0.03409094
0.0775008367,0.080459744
0.0091350896,0.010752674
0.0807341026,0.087912045
0.050090584199999996,0.053191494
0.11210653129999999,0.11702127
0.050173374800000003,0.050505053
-0.0043801204,0.0
-0.0614626254,-0.05714285
-0.0704529608,-0.06730767
0.038992064300000004,0.040404055
0.0400435592,0.040404055
0.07008885159999999,0.07216492
0.0756310887,0.07766987
0.093188171,0.097087316
0.091629302,0.09615385
0.0597750715,0.06306304
0.0061905154,0.008849605
-0.0042318064,0.0
-0.0777236598,-0.07627115
-0.0135690677,-0.008771976
-0.009328063000000001,-0.008771976
0.0895380026,0.09174313
0.04399533875,0.04424779
0.09333394639999999,0.09734519
0.047714500699999995,0.050420213
0.0405754377,0.042372886
-0.0182867234,-0.016129011
-0.012248738,-0.008000042
0.0362690705,0.04065041
-0.020753312599999997,-0.016393421
-0.0424403472,-0.040322583
-0.065311187,-0.06249992
0.0115255744,0.016666645
0.0161737589,0.016806701
0.007092693799999999,0.008333268
-0.0122500876,-0.008196765
-0.037989805,-0.03305781
-0.047168945,-0.041322317
-0.0600253278,-0.05785122
