case,rel_score,median_abs_error,q90_abs_error,daily_q90_abs_error_median,daily_q90_abs_error_q90,daily_q90_abs_error_max,prediction_actual_abs_q90_ratio,directional_accuracy,spike_days_ge_5pct,spike_days_ge_7pct,spike_days_ge_8pct
baseline_seed52,0.0329995223544843,0.0124664926552213,0.0479582146625034,0.0369823072105646,0.0637151245772838,0.0962374508380889,0.1709965981239485,0.5104848845670438,166,29,12
hard_context_gate_seed52,0.0029674582727451,0.0126687381707597,0.0498175003711367,0.0369410410523414,0.0655686154961586,0.0820566043257713,0.0976967956744886,0.4836938546007805,165,43,1
residual_context_gate_seed52,0.020933921538954,0.0127409657325188,0.0483187573263421,0.0372130453586578,0.0646763382852077,0.109301783144474,0.1854603386295845,0.4983627703909505,154,41,14
ctxdrop20_seed52,0.0212501737735748,0.0126093364087864,0.0485581773042213,0.0366845354437828,0.0641952645778656,0.0987977899610996,0.1362387671790608,0.4998015479261758,157,32,10
