model,split,rows,pred_pos_rate,actual_pos_rate,pred_mean,actual_mean,pred_abs_mean,actual_abs_mean,pred_abs_over_actual_abs,corr
arima,test,1165,0.632618025751073,0.41630901287553645,0.0003801780275510472,0.0004335067446351932,0.0006149612609252961,0.00931762289914163,0.06599980140663864,0.051602927878185365
arima,train,9755,0.5886212198872374,0.40738083034341366,0.0003942380204553363,0.00039423801848676067,0.000755456618051327,0.012179765443419616,0.062025547335928286,0.06550080483647017
arima,val,997,0.6770310932798396,0.38214643931795383,0.00034052341954333,-5.011276830491477e-05,0.0005710627004506519,0.008221714819859578,0.06945785799712345,-0.019613154531803748
linear_regression,test,1165,0.5339055793991416,0.41630901287553645,9.301976452254938e-05,0.0004335067446351932,0.0025808355876089013,0.00931762289914163,0.2769843355483571,0.06226826862470269
linear_regression,train,9755,0.5422860071758073,0.40738083034341366,0.0003942369710419733,0.00039423801848676067,0.0027054988421600155,0.012179765443419616,0.22213061940545992,0.20066963993761644
linear_regression,val,997,0.526579739217653,0.38214643931795383,0.0004008251076992979,-5.011276830491477e-05,0.0023606490844565696,0.008221714819859578,0.28712368844932623,-0.03386889412885073
lstm,test,1165,0.303862660944206,0.41630901287553645,-0.0005324219115389185,0.0004335067446351932,0.0011469476132741974,0.00931762289914163,0.12309444433299162,0.08465851254145121
lstm,train,9755,0.3025115325474116,0.40738083034341366,-0.0003698013946245166,0.00039423801848676067,0.0013801269110061795,0.012179765443419616,0.11331309436273448,0.0016878243450468226
lstm,val,997,0.31093279839518556,0.38214643931795383,-0.00031533493439713135,-5.011276830491477e-05,0.001147131921136951,0.008221714819859578,0.1395246546822629,-0.04156227055545338
lstm_best_by_val,test,1165,0.2927038626609442,0.41630901287553645,-0.0005509568864881545,0.0004335067446351932,0.0013373815988835193,0.00931762289914163,0.14353248820648484,0.08143040694157631
lstm_best_by_val,train,9755,0.4329062019477191,0.40738083034341366,0.00014978092859996308,0.00039423801848676067,0.0014488395776550856,0.012179765443419616,0.11895463704827361,0.06722583010935852
lstm_best_by_val,val,997,0.1995987963891675,0.38214643931795383,-0.000796193080722668,-5.011276830491477e-05,0.0012276680209625877,0.008221714819859578,0.1493201902353937,-0.043805178374676845
lstm_ensemble,test,1165,0.2334763948497854,0.41630901287553645,-0.0004657532493875536,0.0004335067446351932,0.0006824069604510729,0.00931762289914163,0.07323831065474204,0.09086511796586572
lstm_ensemble,train,9755,0.3166581240389544,0.40738083034341366,-0.00019719001243649102,0.00039423801848676067,0.0006910539695355602,0.012179765443419616,0.05673787173864807,0.04701099386900888
lstm_ensemble,val,997,0.20561685055165496,0.38214643931795383,-0.0005024633457993982,-5.011276830491477e-05,0.0006864752340782346,0.008221714819859578,0.08349538376350048,-0.06797759348701854
lstm_seed_102,test,1165,0.303862660944206,0.41630901287553645,-0.0005324219115389185,0.0004335067446351932,0.0011469476132741974,0.00931762289914163,0.12309444433299162,0.08465851254145121
lstm_seed_102,train,9755,0.3025115325474116,0.40738083034341366,-0.0003698013946245166,0.00039423801848676067,0.0013801269110061795,0.012179765443419616,0.11331309436273448,0.0016878243450468226
lstm_seed_102,val,997,0.31093279839518556,0.38214643931795383,-0.00031533493439713135,-5.011276830491477e-05,0.001147131921136951,0.008221714819859578,0.1395246546822629,-0.04156227055545338
lstm_seed_112,test,1165,0.2909871244635193,0.41630901287553645,-0.00035117567385407726,0.0004335067446351932,0.0009685672232540773,0.00931762289914163,0.1039500346535064,0.041144097535700364
lstm_seed_112,train,9755,0.3929267042542286,0.40738083034341366,-0.00011316337529023064,0.00039423801848676067,0.001016485173613265,0.012179765443419616,0.08345687594192902,0.01156522046750318
lstm_seed_112,val,997,0.3119358074222668,0.38214643931795383,-0.00035702703632938817,-5.011276830491477e-05,0.0008368022609325977,0.008221714819859578,0.10177952887775908,-0.022406394079438292
lstm_seed_42,test,1165,0.33047210300429186,0.41630901287553645,-0.0004637648242227469,0.0004335067446351932,0.0011315378051729615,0.00931762289914163,0.12144060962986626,0.025977174562447736
lstm_seed_42,train,9755,0.410456176319836,0.40738083034341366,-0.0002567041192790538,0.00039423801848676067,0.0012382268998143136,0.012179765443419616,0.10166262277926646,0.02099943558488511
lstm_seed_42,val,997,0.16649949849548645,0.38214643931795383,-0.0009044853637441324,-5.011276830491477e-05,0.0011098344788648946,0.008221714819859578,0.13498819932115452,-0.056768918899120634
lstm_seed_52,test,1165,0.21630901287553647,0.41630901287553645,-0.0008893622800137683,0.0004335067446351932,0.001173488631554472,0.00931762289914163,0.12594291958977838,-0.012872959293765085
lstm_seed_52,train,9755,0.2744233726294208,0.40738083034341366,-0.000948838173565181,0.00039423801848676067,0.0014237092999893734,0.012179765443419616,0.11689135612694114,0.02331855036841681
lstm_seed_52,val,997,0.2888665997993982,0.38214643931795383,-0.0007308639730647944,-5.011276830491477e-05,0.001067005369264995,0.008221714819859578,0.12977893208940308,-0.0672838633719528
lstm_seed_62,test,1165,0.496137339055794,0.41630901287553645,-0.00030746166336454936,0.0004335067446351932,0.0015214642338234339,0.00931762289914163,0.16328888282907394,0.007230538240026015
lstm_seed_62,train,9755,0.5732444900051256,0.40738083034341366,0.000445293682039588,0.00039423801848676067,0.0017661432529722213,0.012179765443419616,0.14500634360954945,0.0027021179517296655
lstm_seed_62,val,997,0.49047141424272817,0.38214643931795383,-0.00011381862775009025,-5.011276830491477e-05,0.001164156046251314,0.008221714819859578,0.14159528416618045,0.021433425953579062
lstm_seed_72,test,1165,0.31072961373390556,0.41630901287553645,-0.0005650999216680686,0.0004335067446351932,0.0011719864972009441,0.00931762289914163,0.12578170525756213,0.11396358926270808
lstm_seed_72,train,9755,0.4342388518708355,0.40738083034341366,-0.00012134891312164014,0.00039423801848676067,0.0013032821404369164,0.012179765443419616,0.10700387839907402,0.038917009847068904
lstm_seed_72,val,997,0.3279839518555667,0.38214643931795383,-0.0006069860820385656,-5.011276830491477e-05,0.0011313585802954363,0.008221714819859578,0.13760615699812845,-0.0587327448443879
lstm_seed_82,test,1165,0.2927038626609442,0.41630901287553645,-0.0005509568864881545,0.0004335067446351932,0.0013373815988835193,0.00931762289914163,0.14353248820648484,0.08143040694157631
lstm_seed_82,train,9755,0.4329062019477191,0.40738083034341366,0.00014978092859996308,0.00039423801848676067,0.0014488395776550856,0.012179765443419616,0.11895463704827361,0.06722583010935852
lstm_seed_82,val,997,0.1995987963891675,0.38214643931795383,-0.000796193080722668,-5.011276830491477e-05,0.0012276680209625877,0.008221714819859578,0.1493201902353937,-0.043805178374676845
lstm_seed_92,test,1165,0.4171673819742489,0.41630901287553645,-6.578283669356224e-05,0.0004335067446351932,0.0007159543100422318,0.00931762289914163,0.07683872998425251,0.020903338838299684
lstm_seed_92,train,9755,0.34628395694515635,0.40738083034341366,-0.00036273873344648793,0.00039423801848676067,0.0009835313736475846,0.012179765443419616,0.08075125733878225,0.019079462987347428
