kind,run_name,label
train,phase1_plain_narrow_base_20260409_125108,plain_narrow_base
train,phase1_plain_narrow_highercap_20260409_125108,plain_narrow_highercap
train,phase1_plain_sector_base_20260409_125108,plain_sector_base
committee,phase1_plain_narrow_base_20260409_125108__committee,committee_plain_narrow_base
committee,phase1_plain_narrow_highercap_20260409_125108__committee,committee_plain_narrow_highercap
committee,phase1_plain_sector_base_20260409_125108__committee,committee_plain_sector_base
