candidate_kind,source_label,run_name,model_name,val_rel_score,test_rel_score,pred_pos_rate,actual_pos_rate,pos_rate_gap,pred_abs_over_actual_abs,test_corr,train_minus_val,val_minus_test,trade_count,directional_accuracy,final_equity,selection_score,method,weight_expert,code_count,stable_weight_count,stable_test_rel_score_median
committee,committee_plain_narrow_highercap,phase1_plain_narrow_highercap_20260409_125108 + biaspush_signmag_sector_base_20260409_111710,lstm_top2_by_val + lstm_signmag_best_by_val,0.021098201277084727,0.022517747135325394,,,,,,,-0.0014195458582406673,,,,0.06983114028939302,avg,0.2,4.0,4.0,0.025057083877258857
committee,committee_plain_sector_base,phase1_plain_sector_base_20260409_125108 + biaspush_signmag_sector_base_20260409_111710,lstm_top2_by_val + lstm_signmag_best_by_val,0.020412998740391264,0.011553513006425709,,,,,,,0.008859485733965555,,,,0.06825508827886438,avg,0.95,4.0,5.0,0.02307654442003071
committee,committee_plain_narrow_base,phase1_plain_narrow_base_20260409_125108 + biaspush_signmag_sector_base_20260409_111710,lstm_best_by_val + lstm_signmag_best_by_val,0.01998011112648701,0.02763443361112805,,,,,,,-0.007654322484641041,,,,0.06424475638116646,avg,0.0,4.0,3.0,0.02763443361112805
standalone,plain_narrow_highercap,phase1_plain_narrow_highercap_20260409_125108,lstm_ensemble,-0.000587950782642066,0.023793653214296717,0.3664749383730484,0.4157764995891536,-0.04930156121610518,0.0608470098323368,0.1177548780222173,0.0064280214269167,-0.0243816039969387,446.0,0.6322869955156951,1.780097312350986,0.01963732553348298,,,,,
standalone,plain_sector_base,phase1_plain_sector_base_20260409_125108,lstm_ensemble,0.009257320999998764,0.018859390593335856,0.2995708154506438,0.4163090128755364,-0.11673819742489261,0.0848552816782419,0.0749405135460523,-0.000811803729222,-0.009602069593337,349.0,0.6389684813753582,1.600373838946173,0.016411403611037975,,,,,
standalone,plain_narrow_highercap,phase1_plain_narrow_highercap_20260409_125108,lstm_top2_by_val,-0.0006801152750512962,0.02110054971290254,0.3163516844700082,0.4157764995891536,-0.09942481511914536,0.0899235397364824,0.1383625692158561,0.003772884324358,-0.0217806649879538,385.0,0.6519480519480519,2.2066911161928813,0.015036836793098831,,,,,
standalone,plain_narrow_base,phase1_plain_narrow_base_20260409_125108,lstm_best_by_val,0.01169703427302049,0.0093970240387935,0.3566146261298274,0.4157764995891536,-0.059161873459326164,0.0784605095916725,0.0330085469175969,-0.0079974276418882,0.0023000102342269,434.0,0.5529953917050692,1.376158691424312,0.013120665197970893,,,,,
standalone,plain_narrow_highercap,phase1_plain_narrow_highercap_20260409_125108,lstm_best_by_val,0.006122181427260731,0.014320616670499442,0.3163516844700082,0.4157764995891536,-0.09942481511914536,0.0936337856051803,0.0929906136470407,-0.0057846101566703,-0.0081984352432387,385.0,0.6337662337662338,1.7841687972583202,0.012897656810334081,,,,,
standalone,plain_narrow_base,phase1_plain_narrow_base_20260409_125108,lstm_ensemble,0.0023547780969287446,0.015916367119853336,0.3533278553820871,0.4157764995891536,-0.06244864420706647,0.0468299314702538,0.0572649440033962,0.0028995089726923,-0.0135615890229245,430.0,0.5906976744186047,1.9208620130282925,0.01252020545198963,,,,,
standalone,plain_sector_base,phase1_plain_sector_base_20260409_125108,lstm_top2_by_val,0.020063971629245336,0.00894608209513581,0.2892703862660944,0.4163090128755364,-0.12703862660944198,0.1085595328356362,0.0909397280209409,-0.0141269272042208,0.0111178895341095,337.0,0.6528189910979229,2.341129825698889,0.010651270576638066,,,,,
standalone,plain_narrow_base,phase1_plain_narrow_base_20260409_125108,lstm_top2_by_val,-0.005605565377085897,0.015425519817344191,0.5028759244042728,0.4157764995891536,0.08709942481511918,0.0733256061436778,0.071045028435862,0.0087345174119978,-0.02103108519443,612.0,0.5816993464052288,1.7866534322496987,0.00774049153961076,,,,,
standalone,plain_sector_base,phase1_plain_sector_base_20260409_125108,lstm_best_by_val,0.02349403291069352,-0.003028205537825457,0.3931330472103004,0.4163090128755364,-0.023175965665235998,0.1261311774899311,0.0777918317305912,-0.0226617754412441,0.0265222384485189,458.0,0.6179039301310044,1.8025466862075616,0.006930163609816426,,,,,
