error,base
-0.00765585,0.0
0.0092481592,0.011904727
-0.009942718,-0.011764672
-0.0033655585999999996,-0.0059523634
-0.0029134103,0.0
0.0027859388000000002,0.0059880065
0.0086355899,0.0059523634
-0.0101001286,-0.0059171426
-0.008693191999999999,-0.0059523634
-0.0025345623,0.0
-0.005453280400000001,-0.0059880065
0.0094584595,0.0060240785
-0.010380986,-0.011976013
-0.028995883,-0.030303042
0.00644602397,0.0062499815
-0.014137328400000001,-0.012422323
-0.021875040999999998,-0.025157264
0.0253850626,0.019354891
-0.0035720398,0.0
0.0053409706,0.006329095
-0.012313318299999999,-0.012578579
0.00087445555,0.0
0.0075761222,0.0063694073
-0.0161136868,-0.012658297
-0.026684272499999998,-0.02564095
0.0184960234,0.019736784
-0.063262314,-0.058064565
0.0199363004,0.013698706
-0.0566650021,-0.054054067
0.007203033894,0.0071428963
0.040325004600000006,0.042553063
-0.0364900038,-0.034013506
0.026125348399999998,0.02816893
-0.008693724,-0.006849295
0.0125177955,0.013793063
0.017645198600000002,0.013605634
-0.0268559715,-0.020134393
0.011544024600000001,0.006849295
-0.0153936914,-0.0068027014
0.0287628871,0.027397413
-0.004830320799999999,-0.0066666463
-0.0058305133,0.0
-0.0072162771,-0.0067115026
-0.01750134,-0.013513587
-0.0054474613,-0.006849295
-0.0016687402,0.0
-0.0046626125,0.0
0.0084671411,0.0068965317
-0.00769541483,-0.006849295
0.014584845499999999,0.013793063
-0.00093355635,0.0
0.0158971565,0.013605634
0.0065838126,0.0
-0.0005598301,0.0
0.0029126927,0.0
0.0040531023,0.0
-0.00310915,0.0
-0.009578428600000001,-0.013423005
0.016546476,0.013605634
0.0086349226,0.006711389
0.0011644253,0.0
0.0043938721,0.0066666463
0.0082480861,0.0066224965
-0.0024618516,0.0
-0.006692403,-0.0065789274
0.0102875214,0.0066224965
-0.0033289215,0.0
0.001885158,0.0
-0.01413014087,-0.013157855
-0.01272420944,-0.013333405
0.013765478440000001,0.013513587
-0.0189527605,-0.013333405
0.005463973400000001,0.006756851
-0.0113173281,-0.0067115026
0.005096339300000001,0.006756851
-0.004188163,0.0
-0.006499032,0.0
0.0056702224,0.006711389
-0.0046351356,-0.0066666463
-0.0032604243999999998,-0.0067115026
-0.0048894491,-0.006756851
0.0052937358,0.006802817
0.03466239903,0.033783797
-0.0018774539,0.0
-0.0095701558,-0.013071856
0.00598102444,0.0066224965
-0.0031362763,0.0
0.004357931400000001,0.0065789274
0.0228185,0.026143823
0.003910451,0.0
-0.0098835579,-0.0063695153
-0.002841603,0.0
-0.0545847122,-0.05128201
-0.0214575285,-0.020270325
-0.0054647571,-0.0068965317
-0.0010387865000000005,0.006944424
-0.0176497943,-0.013793063
-0.0035010064,-0.0069929864
-0.021058719044,-0.021126756
-0.00029763626,0.0
0.0063025783,0.0071942233
0.007633760000000001,0.014285732
-0.02046327365,-0.021126756
0.0035422365,0.0
0.0154577966,0.014388507
-0.0188189396,-0.014184414
0.0052503033,0.0071942233
0.062000357,0.06428583
-0.0154151403,-0.013423005
-0.016240312,-0.013605403
-0.0074455082,-0.0068965317
-0.0182244503,-0.013888848
-0.0046561346,0.0
-0.0104568444,-0.0070422324
0.0034256703,0.0
0.0018406855,0.0
-0.0115889889,-0.0070922375
-0.0008186675000000001,-0.0071428358
0.0011571413,0.0
-0.0030088127,0.0
-0.00023056741,0.0
-0.005990903499999999,-0.007194284
-0.002754776,0.0
-0.0048430222,-0.0072463555
0.0182776096,0.014598559
-0.0101098198,-0.007194284
0.0026581845999999994,0.007246417
-0.0056329876,-0.007194284
-0.0017696299,0.0
0.017314618,0.007246417
-0.004077393,0.0
0.0016509963,0.0
-0.0016045636999999996,-0.007194284
-0.0015915835000000003,-0.0072463555
-0.0008856561,0.0
-0.0053818752,-0.0072992486
-0.010398086300000001,-0.0073529813
-0.009130673199999998,-0.014814771
-0.0053303563,0.0
-0.0182814994,-0.015037613
0.004380172,0.0
0.00726473772,0.0076336297
0.0018407328,0.0
-0.00063969183,0.0
-0.006456505600000001,-0.007575799
-0.0049504894,-0.0076336297
-0.0298430931,-0.030769207
0.009087124,0.007936484
0.005153718900000001,0.0078740595
-0.0069855936,0.0
0.05434743575,0.05468747
-0.0214003657,-0.022222158
-0.0180249216,-0.015151598
-0.00816694875,-0.0076922853
0.010651102499999999,0.0155038955
-0.0007725714,0.0
-0.0046142275,0.0
-0.0057363463,-0.0076336297
-0.004468789,0.0
0.0069496739999999994,0.0153847
-0.01471171852,-0.015151598
0.017596958,0.0153847
-0.005392422000000001,-0.007575799
-0.0052376958,0.0
-0.0117325897,-0.0076336297
0.0005876706,0.0
-0.0064585306,-0.0076922853
0.000100218575,0.0
-0.0088824848,-0.007751915
-0.009224985,-0.007812543
-0.0033756814,0.0
0.015355857399999999,0.015748052
0.0233246885,0.0155038955
-8.6980755e-05,0.0
0.01515760313,0.015267195
0.0064538454,0.0075187744
-0.014615019069999999,-0.014925329
-0.018836270999999998,-0.022727333
0.00732251784,0.007751915
0.005006316699999999,0.00769235
0.0076959226,0.0
0.00094792154,0.0
-0.0135960761,-0.015267195
-0.0135910784,-0.0155038955
0.010864006399999997,0.015748052
0.001663175,0.0
0.0140585634,0.0155038955
-0.0010322039,0.0
-0.0104330813,-0.0076336297
0.0035849353,0.0
-0.0145702193,-0.015384571
-0.0033857009999999996,-0.007812543
0.014893174099999998,0.015748052
-0.0187775039,-0.0155038955
0.01646070516,0.015748052
0.0180842893,0.023255877
0.0234495874,0.030303003
0.0012362394,0.0
0.07071971839999999,0.0661764
0.06911768888,0.06896555
0.052665120999999995,0.058064565
-0.0092955218,-0.006097646
0.0069052997,0.0061350553
-0.00027990299999999975,-0.012195189
0.020172927,0.012345747
-0.001259685,-0.012195189
-0.0281181312,-0.030864106
0.066481318,0.06369419
0.037384189,0.041916247
-0.0066706045,0.0
-0.0011215992,0.0
0.06865310553,0.068965405
-0.0267739575,-0.021505313
-0.034379443,-0.038461518
-0.0137477217,-0.017142806
-0.06966648335999999,-0.06976753
-0.0210011617,-0.018749945
0.0408194182,0.04458596
0.0585844903,0.060975634
-0.0023925968,-0.005747109
0.0355800258,0.034682073
0.007199624999999999,0.0111731505
-0.0179853415,-0.016574629
0.0030859825,0.0
0.035177714000000006,0.039325822
-0.008144756,0.0
0.0182472196,0.02162165
-0.0226349563,-0.015873058
-0.0063262963,-0.0053763282
0.0042553167,0.0054053897
-0.006468392,0.0
-0.035575731,-0.026881643
0.020924012300000003,0.022099381
-0.020646220259999997,-0.021621559
0.0149648584,0.011049691
-0.0006363678,0.0
-0.0014442507,0.005464465
0.011884030100000002,0.010869533
-0.0165939357,-0.016128985
-0.00049069873,0.0
-0.012515822099999999,-0.016393393
-0.0131989201,-0.01666671
0.0148173487,0.011299497
-0.035493484699999994,-0.033519547
-0.0012070935,-0.0057803295
0.0078681582,0.011627872
0.025577932,0.022988437
-0.0044059609,-0.005617961
-0.0218013187,-0.022598803
0.0234222255,0.017340988
-0.0194565897,-0.017045403
0.029180425500000003,0.034682073
-0.0060760288,-0.00558667
-0.0030559357,0.0
