seed,split,n_obs,rel_score,median_abs_error,q90_abs_error,q95_abs_error,daily_q90_p90,daily_q90_max,directional_accuracy,spike_days_ge_5pct,spike_days_ge_7pct,spike_days_ge_8pct,actual_q90,pred_q90,pred_actual_q90_ratio
43,train,129720,0.023429403799871906,0.009780040775,0.03601122877,0.04849272357999997,0.048071466676,0.0883578388,0.4760098674067222,163,9,1,0.03703697,0.006334419850000001,0.1710296455136584
43,val,60468,0.021675736349096586,0.012481888899999998,0.048780993359000005,0.063898720795,0.064335336224,0.09423149110000001,0.5067473705100218,167,30,8,0.05022141510000003,0.0082482408,0.164237522649974
52,train,129720,0.0256537359490584,0.00978436375,0.035876008200000004,0.04833400447999997,0.047872668419000036,0.089318035,0.47700431699044094,158,11,3,0.03703697,0.0066253202300000005,0.17888396998998568
52,val,60468,0.032999492557967414,0.012466492999999999,0.04795821560000001,0.06381103384499996,0.0637151253148,0.0962374504,0.5104848845670438,166,29,12,0.05022141510000003,0.008587691100000003,0.17099659742562687
71,train,129720,0.022086420013865182,0.00978993975,0.036067852708,0.04849430611499993,0.048752806615,0.08886186345000002,0.47439870490286773,170,12,2,0.03703697,0.006088891670000002,0.16440037265467453
71,val,60468,0.019627403401236698,0.012459798925,0.04897957390000002,0.06346446318499999,0.06374997633280001,0.09279294390000001,0.5036713633657471,167,28,3,0.05022141510000003,0.008171266800000002,0.1627048298764484
