split,metric,mean,std,min,max
train,rel_score,0.023723186587598494,0.0018017122384399143,0.022086420013865182,0.0256537359490584
train,median_abs_error,0.009784781425000002,4.96268735836511e-06,0.009780040775,0.00978993975
train,q90_abs_error,0.03598502989266667,9.856908588693364e-05,0.035876008200000004,0.036067852708
train,q95_abs_error,0.04844034472499995,9.209675284313453e-05,0.04833400447999997,0.04849430611499993
train,daily_q90_p90,0.048232313903333345,0.00046158930221587184,0.047872668419000036,0.048752806615
train,daily_q90_max,0.08884591241666667,0.00048029679597298036,0.0883578388,0.089318035
train,directional_accuracy,0.4758042964333436,0.001314913744908296,0.47439870490286773,0.47700431699044094
train,spike_days_ge_5pct,163.66666666666666,6.027713773341707,158.0,170.0
train,spike_days_ge_7pct,10.666666666666666,1.5275252316519468,9.0,12.0
train,spike_days_ge_8pct,2.0,1.0,1.0,3.0
train,actual_q90,0.03703697,0.0,0.03703697,0.03703697
train,pred_q90,0.006349543916666668,0.00026853389551474027,0.006088891670000002,0.0066253202300000005
train,pred_actual_q90_ratio,0.17143799605277288,0.007250428302173218,0.16440037265467453,0.17888396998998568
val,rel_score,0.024767544102766898,0.00720226689960395,0.019627403401236698,0.032999492557967414
val,median_abs_error,0.012469393608333332,1.1327042659171605e-05,0.012459798925,0.012481888899999998
val,q90_abs_error,0.048572927619666674,0.000541536432899918,0.04795821560000001,0.04897957390000002
val,q95_abs_error,0.06372473927499998,0.0002296300994411282,0.06346446318499999,0.063898720795
val,daily_q90_p90,0.06393347929053333,0.0003484542934092415,0.0637151253148,0.064335336224
val,daily_q90_max,0.09442062846666666,0.0017300248451215194,0.09279294390000001,0.0962374504
val,directional_accuracy,0.5069678728142709,0.0034121084009398135,0.5036713633657471,0.5104848845670438
val,spike_days_ge_5pct,166.66666666666666,0.5773502691896258,166.0,167.0
val,spike_days_ge_7pct,29.0,1.0,28.0,30.0
val,spike_days_ge_8pct,7.666666666666667,4.509249752822894,3.0,12.0
val,actual_q90,0.05022141510000003,0.0,0.05022141510000003,0.05022141510000003
val,pred_q90,0.008335732900000002,0.00022157041787980255,0.008171266800000002,0.008587691100000003
val,pred_actual_q90_ratio,0.1659796499840164,0.004411871259274865,0.1627048298764484,0.17099659742562687
