loss,val_loss,val_rel_score,learning_rate
0.4422070384025574,0.3811911344528198,-0.006382625860151814,0.00019999999494757503
0.43671613931655884,0.3817702829837799,0.004973786004378589,0.00019999999494757503
0.43519049882888794,0.38200682401657104,0.0074643132726602834,0.00019999999494757503
0.4346775412559509,0.38185304403305054,0.004976955600092592,0.00019999999494757503
0.4344254732131958,0.3817847669124603,0.005391877812630619,0.00019999999494757503
0.4341135323047638,0.3817874491214752,0.004760642172472629,0.00019999999494757503
0.4338158965110779,0.3817932903766632,0.008973080267580591,0.00019999999494757503
0.4336306154727936,0.3817293345928192,0.007591595634804271,0.00019999999494757503
0.4334399998188019,0.3818044662475586,0.00844605351629868,0.00019999999494757503
0.43303748965263367,0.3819919228553772,0.007209096057305575,0.00019999999494757503
0.43282920122146606,0.3820180892944336,0.01110868950042787,0.00019999999494757503
0.43260446190834045,0.38213467597961426,0.006715960042963265,0.00019999999494757503
0.4323273003101349,0.38221657276153564,0.005702802817329933,0.00019999999494757503
0.43192002177238464,0.3823142349720001,0.0023343745810379124,0.00019999999494757503
0.43160656094551086,0.3824498951435089,0.00871032897009294,0.00019999999494757503
0.43134182691574097,0.3825278878211975,0.006234315031919624,0.00019999999494757503
0.43080106377601624,0.38243362307548523,0.0006635798674744509,9.999999747378752e-05
0.43050655722618103,0.38251420855522156,0.0029224129276763655,9.999999747378752e-05
0.4305499494075775,0.3826456367969513,0.006218749576926252,9.999999747378752e-05
0.43034598231315613,0.38287362456321716,0.008566921323376997,9.999999747378752e-05
0.4302842617034912,0.3828997015953064,0.00900230411490377,9.999999747378752e-05
