run_name,sector,stocks,feature_columns,best_by_val_model,best_by_val_val_rel_score,best_by_val_test_rel_score,best_by_val_test_directional_accuracy,best_by_val_backtest_final_equity,best_by_val_backtest_trade_count,best_by_val_backtest_threshold,best_by_test_model,best_by_test_test_rel_score,run_dir,candidate_score,candidate_mean_val_rel_score,candidate_mean_test_rel_score,candidate_feature_overlap,candidate_support_count
mini_ngan_hang_g02_return_w15_pruned_v1,Ngân hàng,"VCB,TCB,CTG,BID,ACB,MBB","rolling_max_20_gap,momentum_20,bb_width,intraday_return,close_position,lower_shadow,alpha_sector,vingroup_momentum,vnindex_return,a_d_ratio,day_of_week,rsi_14",lstm_signmag_seed_62,0.019473246874995076,0.004844912306888105,0.45019262520638414,1.6836902039776183,946,0.0,lstm,0.01917984042498988,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/mini_ngan_hang_g02_return_w15_pruned_v1,0.2534513762480528,0.04918345754418709,0.04498028185217592,0.08888888888888888,6
mini_ngan_hang_g01_return_w15_pruned_v1,Ngân hàng,"VCB,TCB,CTG,TPB,STB,HDB","rolling_max_20_gap,momentum_20,bb_width,vwap_gap,volatility_20,intraday_return,volume_ratio_20,gap_open,alpha_sector,vingroup_momentum,vnindex_return,a_d_ratio,day_of_week,rsi_14",lstm_signmag_seed_52,0.010323297035486956,-0.014021363782132257,0.47880870561282934,2.8978419341556148,1028,0.0,lstm_signmag,0.0005786842979016438,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/mini_ngan_hang_g01_return_w15_pruned_v1,0.26550958515601897,0.06112438498241731,0.045214844791647724,0.08888888888888888,6
mini_ngan_hang_g03_return_w15_pruned_v1,Ngân hàng,"VCB,TPB,STB,BID,EIB,MBB","rolling_max_20_gap,momentum_20,bb_width,vwap_gap,volatility_20,intraday_return,macd_hist,lower_shadow,alpha_sector,vingroup_momentum,vnindex_return,a_d_ratio,day_of_week,rsi_14",lstm_seed_52,0.01902281121743854,-0.02229700596389228,0.4627720504009164,4.308206389662959,1178,0.0,lstm_signmag_seed_52,0.003753999396462371,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/mini_ngan_hang_g03_return_w15_pruned_v1,0.24834561166407285,0.04414488686315273,0.047512560712951395,0.02222222222222222,6
