candidate,val_rel_score,test_rel_score,val_abs_loss,test_abs_loss,coef_expert,coef_market,intercept,ridge_alpha
expert_only,0.021012648466806727,0.05048465575862915,0.014829562407248888,0.01608990581444232,,,,
market_only,0.012274681756143657,0.017204385786431353,0.014961923895316436,0.01665385289816186,,,,
market_plus_residual_affine,0.008955605942685185,0.02813168912485864,0.015012200787896293,0.016468685504514725,0.2169369190518784,1.0,0.0008430093656181695,
two_signal_ridge_10,0.006376193484877057,0.02089903188747444,0.01505127336422447,0.016591245686868213,0.45553450978152543,-0.04942812160022744,0.00029708658776008844,10.0
two_signal_ols,0.006371870715041861,0.021185938077056488,0.015051338844932616,0.016586383950198076,0.46042790597634436,-0.05082788452732836,0.00030019848462514286,
two_signal_ridge_0.01,0.006371717970385604,0.021185646616036946,0.015051341158687137,0.016586388889118106,0.46042295796062777,-0.05082646064865322,0.0003001953440314631,0.01
two_signal_ridge_0.1,0.006370345958323198,0.021183036348168427,0.015051361941732467,0.016586433121119633,0.4603784307961311,-0.05081364794513549,0.00030016708129957975,0.1
two_signal_ridge_1,0.0063566266062252685,0.021156936589244446,0.015051569760544226,0.0165868753916584,0.45993365129956865,-0.05068573883715122,0.00029988471210172637,1.0
