seed,variant,split,n_obs,n_days,rel_score,median_abs_error,q90_abs_error,daily_q90_abs_error_median,daily_q90_abs_error_q90,daily_q90_abs_error_max,actual_abs_q90,prediction_abs_q90,prediction_actual_abs_q90_ratio,directional_accuracy,spike_days_ge_5pct,spike_rate_ge_5pct,spike_days_ge_7pct,spike_rate_ge_7pct,spike_days_ge_8pct,spike_rate_ge_8pct
43,plain_global_instance_rel,train,129720,1970,0.0192706388289115,0.0096881037461571,0.0364317561063217,0.0309402225539088,0.0494151151180267,0.0751930564641952,0.037036970257759,0.0046003016177564,0.1242083676321429,0.4656799259944496,190,0.0964467005076142,15,0.0076142131979695,0,0.0
43,plain_global_instance_rel,val,60468,659,0.004477012884688,0.0124683683970943,0.0501044517150148,0.0366903606802225,0.0657095839083194,0.0818338297307491,0.0502214148640632,0.0058504511602222,0.1164931568745721,0.4955844413574122,171,0.25948406676783,36,0.054628224582701,2,0.0030349013657056
43,plain_global_rel,train,129720,1970,0.0248573737893691,0.0096804786007851,0.0361290957545861,0.0309138904325664,0.0488144941627979,0.081276124715805,0.037036970257759,0.0056488529313355,0.1525193041445434,0.4760561208757323,175,0.0888324873096446,18,0.0091370558375634,2,0.0010152284263959
43,plain_global_rel,val,60468,659,0.017189088121332,0.012453545932658,0.049175877450034,0.0366354681551456,0.0649701562523842,0.093613189458847,0.0502214148640632,0.0071343587711453,0.1420580999252262,0.5046966990805054,162,0.2458270106221547,39,0.0591805766312594,14,0.0212443095599393
43,plain_global_weighted_mild,train,129720,1970,0.0218095779799659,0.0098251735907979,0.0360131392255425,0.0308058256283402,0.047652898132801,0.0828514844179153,0.037036970257759,0.0064219767227768,0.1733936841508118,0.4766034535923527,153,0.0776649746192893,16,0.0081218274111675,2,0.0010152284263959
43,plain_global_weighted_mild,val,60468,659,0.0296841026832112,0.0124165263259783,0.048308059212286,0.0369793199002742,0.0645999073982238,0.1050799451768398,0.0502214148640632,0.0075096849352121,0.1495315286424917,0.5092114837600052,158,0.2397572078907435,40,0.0606980273141122,10,0.015174506828528
52,plain_global_instance_rel,train,129720,1970,0.0101337281473384,0.0098497579456307,0.0366283795039635,0.0310516594909131,0.0492216569930315,0.0788666307926178,0.037036970257759,0.0039819626603275,0.1075131856794725,0.4576626580326858,179,0.0908629441624365,11,0.0055837563451776,0,0.0
52,plain_global_instance_rel,val,60468,659,0.0061275308807371,0.0125113475078251,0.0498940796591341,0.0369245365262031,0.0667011511325836,0.085427676141262,0.0502214148640632,0.0047668592538684,0.0949168649822222,0.4925415095587749,169,0.2564491654021244,37,0.0561456752655538,1,0.0015174506828528
52,plain_global_rel,train,129720,1970,0.0203525032636235,0.0097285391530022,0.0362893222831189,0.0308235583826899,0.0483846521377563,0.0818957947194576,0.037036970257759,0.005409645056352,0.1460606798748264,0.4728106691335183,176,0.0893401015228426,17,0.0086294416243654,2,0.0010152284263959
52,plain_global_rel,val,60468,659,0.0153899604212497,0.0124385531380539,0.0493414788739755,0.0372359007596969,0.0658530965447426,0.0962369889020919,0.0502214148640632,0.0068332206457853,0.1360618904162922,0.4963120989614341,162,0.2458270106221547,38,0.0576631259484066,9,0.0136570561456752
52,plain_global_weighted_mild,train,129720,1970,0.0237364213307464,0.0097509699407964,0.0360519003705121,0.0308807638473808,0.0483783414214849,0.089586142450571,0.037036970257759,0.0059338901191949,0.1602153220929797,0.4749074930619796,168,0.0852791878172588,18,0.0091370558375634,7,0.0035532994923857
52,plain_global_weighted_mild,val,60468,659,0.0270546591915238,0.0124957505613565,0.0483478146677953,0.0368457533419132,0.0638960909843444,0.1218774728477001,0.0502214148640632,0.0074696011375635,0.1487333870975541,0.5040517298405768,160,0.2427921092564491,41,0.0622154779969651,17,0.0257966616084977
71,plain_global_instance_rel,train,129720,1970,0.0245614566134293,0.0096256991964764,0.0362554935971275,0.031021511554718,0.0496258694678545,0.0822329297661781,0.037036970257759,0.0053345058113336,0.1440319166013882,0.474568300955905,190,0.0964467005076142,15,0.0076142131979695,1,0.0005076142131979
71,plain_global_instance_rel,val,60468,659,0.0088947650307713,0.0124048549446342,0.0498984743840992,0.0374257341027259,0.065540012717247,0.0861486680805683,0.0502214148640632,0.0066910777706652,0.1332315664299054,0.4916319375537474,176,0.267071320182094,35,0.0531107738998482,3,0.0045523520485584
71,plain_global_rel,train,129720,1970,0.015879311258277,0.0097649342023942,0.0364710771653335,0.0311554800719022,0.0485779561847448,0.0866587653756141,0.037036970257759,0.0049327863380312,0.1331854712656441,0.467823003391921,178,0.0903553299492385,18,0.0091370558375634,1,0.0005076142131979
71,plain_global_rel,val,60468,659,0.0174421795000728,0.0123974943999201,0.0492689028265886,0.0366142477840185,0.0660576257109642,0.0953365564346313,0.0502214148640632,0.0061895353719592,0.1232449421967246,0.4935668452735331,166,0.251896813353566,44,0.0667678300455235,16,0.0242792109256449
71,plain_global_weighted_mild,train,129720,1970,0.0006977172809663,0.0100074261281406,0.0368499950971454,0.0312924547120928,0.0489413537830114,0.077184073626995,0.037036970257759,0.003196471161209,0.0863048769638331,0.4289700894233734,181,0.0918781725888324,18,0.0091370558375634,0,0.0
71,plain_global_weighted_mild,val,60468,659,0.0039057909829659,0.0126741131243761,0.0497360202018171,0.0368092164397239,0.0652315437793731,0.0799174048006534,0.0502214148640632,0.0045607301406562,0.090812458251146,0.484189984785341,158,0.2397572078907435,45,0.0682852807283763,0,0.0
