run_name,stock,target_mode,feature_columns,model,backtest_mode,test_rel_score,test_directional_accuracy,best_threshold,holding_period,trade_count,coverage,threshold_directional_accuracy,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
vhm_gap_open_upper_shadow,VHM,return,"gap_open,upper_shadow",lstm,overlap,0.09989883536640587,0.5197368421052632,0.0,1,306,1.0,0.5,0.004606185905228758,1.4094928869999999,3.531309385470228,2.7549999231994273
vhm_gap_open_upper_shadow,VHM,return,"gap_open,upper_shadow",linear_regression,overlap,0.09922041336405962,0.4605263157894737,0.005,1,127,0.4150326797385621,0.5669291338582677,0.00711195835905512,0.9032187116000002,2.2717571241853007,1.9603936381180518
vhm_return_gap_upper_above200,VHM,return,"gap_open,upper_shadow,above_ma_200",lstm,overlap,0.07746494668487625,0.45723684210526316,0.0,1,306,1.0,0.5196078431372549,0.004417096971241831,1.3516316732000002,3.3330030983926333,2.7549999231994273
vhm_return_gap_upper_above200,VHM,return,"gap_open,upper_shadow,above_ma_200",linear_regression,overlap,0.09688798498618367,0.47039473684210525,0.005,1,140,0.45751633986928103,0.55,0.006468920907857142,0.9056489270999999,2.2750976166410886,2.454817522702008
vhm_return_bb_position,VHM,return,bb_position,lstm,overlap,0.06712133992330538,0.4276315789473684,0.005,1,92,0.3006535947712418,0.45652173913043476,0.002198221965652174,0.20223642084,1.1778435402319516,0.7851802802283169
vhm_return_bb_position,VHM,return,bb_position,linear_regression,overlap,0.049844358023033886,0.45394736842105265,0.005,1,24,0.0784313725490196,0.5416666666666666,0.009782875225,0.23478900539999997,1.244433092591044,1.3408057219780816
vhm_return_5d_gap_open_upper_shadow,VHM,return_5d,"gap_open,upper_shadow",lstm,non_overlap,-0.010515430887566568,0.57,0.02,5,37,0.12251655629139073,0.7027027027027027,0.03202707057837838,1.1850016114,2.980236547306353,1.2959802319877223
vhm_return_5d_gap_open_upper_shadow,VHM,return_5d,"gap_open,upper_shadow",linear_regression,non_overlap,0.00024014175394349024,0.54,0.0025,5,59,0.19536423841059603,0.576271186440678,0.01017504713559322,0.600327781,1.5071408028601805,2.4219382232502134
vhm_return5d_above200_bbwidth_bbposition,VHM,return_5d,"above_ma_200,bb_width,bb_position",lstm,non_overlap,-0.009367793462023544,0.49333333333333335,0.0025,5,56,0.18543046357615894,0.5,0.01135525178214286,0.6358940998000001,1.5857451757086432,2.1610892811287514
vhm_return5d_above200_bbwidth_bbposition,VHM,return_5d,"above_ma_200,bb_width,bb_position",linear_regression,non_overlap,0.011848254259879676,0.58,0.005,5,56,0.18543046357615894,0.6428571428571429,0.029791266196428568,1.6683109069999997,4.354018457539423,2.3701985949879276
