run_name,model,threshold,coverage,trade_count,final_equity,buy_hold_equity,avg_trade_return,directional_accuracy_when_trading
imp_return_5d_lower_shadow_atr_gap,lstm,0.0025,0.8145695364238411,246,1.2168848358253113,2.828287599083365,0.0014169710398373983,0.5121951219512195
imp_lower_shadow_atr_gap,lstm,0.005,0.0392156862745098,12,1.1350415783812915,1.1877230012601836,0.010900164675000002,0.6666666666666666
imp_return_5d_lower_shadow_atr_gap,linear_regression,0.02,0.0033112582781456954,1,1.0919539600000001,2.828287599083365,0.09195396,1.0
imp_lower_shadow_atr_gap,linear_regression,0.0025,0.34967320261437906,107,1.0071354475095537,1.1877230012601836,0.00025799502897196243,0.5700934579439252
