stock,horizon,run_name,model,test_rel_score,test_directional_accuracy,test_mse,test_mae,best_threshold,threshold_coverage,threshold_directional_accuracy,avg_strategy_return,cumulative_strategy_return
VHM,1d,vhm_gap_open_upper_shadow,lstm,0.09989883536640587,0.5197368421052632,0.0009756278013810515,0.02228355221450329,0.005,0.37254901960784315,0.5701754385964912,0.008376522637719298,0.9549235806999999
VHM,1d,vhm_gap_open_upper_shadow,linear_regression,0.09922041336405962,0.4605263157894737,0.0009671051520854235,0.022118335589766502,0.015,0.0457516339869281,0.6428571428571429,0.016180765707142854,0.22653071989999995
VHM,3d,vhm_return_3d_gap_open_upper_shadow,lstm,-0.08176835770007451,0.5463576158940397,0.00433309143409133,0.048451781272888184,0.02,0.29605263157894735,0.5777777777777777,0.01917668759666667,1.7259018837000002
VHM,3d,vhm_return_3d_gap_open_upper_shadow,linear_regression,0.053860694246222085,0.5165562913907285,0.00385943497531116,0.04569634795188904,0.015,0.19736842105263158,0.6,0.02000532870833333,1.2003197224999997
VHM,5d,vhm_return_5d_gap_open_upper_shadow,lstm,-0.010515430887566568,0.57,0.006881676148623228,0.06237908452749252,0.02,0.4271523178807947,0.7131782945736435,0.03800105113023255,4.902135595799999
VHM,5d,vhm_return_5d_gap_open_upper_shadow,linear_regression,0.00024014175394349024,0.54,0.006904628127813339,0.06290491670370102,0.02,0.23841059602649006,0.6527777777777778,0.02633882685833333,1.8963955337999998
IMP,1d,imp_lower_shadow_atr_gap,lstm,-0.0016422722413755864,0.4506578947368421,0.0003245567495469004,0.011777441948652267,0.005,0.0392156862745098,0.6666666666666666,0.010900164675000002,0.13080197610000002
IMP,1d,imp_lower_shadow_atr_gap,linear_regression,0.0352366278644487,0.5164473684210527,0.00033230811823159456,0.011949495412409306,0.0025,0.34967320261437906,0.4766355140186916,0.00025799502897196243,0.027605468099999978
IMP,3d,imp_return_3d_lower_shadow_atr_gap,lstm,-0.11697642887209914,0.5231788079470199,0.0010193160269409418,0.021481717005372047,0.02,0.0625,0.5263157894736842,0.009809251089473683,0.18637577069999997
IMP,3d,imp_return_3d_lower_shadow_atr_gap,linear_regression,0.016828771775253437,0.5066225165562914,0.0009409941267222166,0.019549407064914703,0.01,0.03618421052631579,0.6363636363636364,0.011581131890909086,0.12739245079999995
IMP,5d,imp_return_5d_lower_shadow_atr_gap,lstm,-0.07242393854229556,0.48333333333333334,0.0014296174049377441,0.026833269745111465,0.0025,0.8145695364238411,0.4715447154471545,0.0014169710398373983,0.34857487579999996
IMP,5d,imp_return_5d_lower_shadow_atr_gap,linear_regression,0.009127897015810071,0.51,0.0013052579015493393,0.025409195572137833,0.02,0.0033112582781456954,1.0,0.09195396,0.09195396
