seed,candidate,rel_score,n_days,daily_q90_median,daily_q90_p75,daily_q90_p90,daily_q90_max,days_ge_3p5,days_ge_5,days_ge_7,days_ge_8,rate_ge_3p5
43,tail_loss,0.025796529458296247,659,0.037111662600000005,0.04964621525,0.06405257640800001,0.100071732,360,162,37,11,0.5462822458270106
43,stressaux_w20,0.021675736349096586,659,0.0368558094,0.05013662554000001,0.064335336224,0.09423149110000001,370,167,30,8,0.5614567526555387
43,residual_oracle,0.21826468532607535,659,0.032788027270000006,0.039328785399999996,0.04701493491440001,0.07812493895000001,273,43,1,0,0.4142640364188164
43,residual_lagged_ar1,0.02361855922438516,659,0.036780788999999994,0.049834189335,0.06358928626,0.1094064185,366,164,34,9,0.5553869499241275
43,zero_prediction_floor,0.0,659,0.037329839700000006,0.050535955,0.0683981948,0.0699300148,359,171,0,0,0.5447647951441578
52,tail_loss,0.027512996420494762,659,0.03707022779700001,0.049687821777000006,0.06313528789680001,0.1051579154,365,161,25,9,0.5538694992412747
52,stressaux_w20,0.032999492557967414,659,0.03698230809300001,0.05003923852500001,0.0637151253148,0.0962374504,363,166,29,12,0.5508345978755691
52,residual_oracle,0.2154676901364866,659,0.03226884840000001,0.039614728720000034,0.046679713920800024,0.07601659399,270,47,1,0,0.40971168437025796
52,residual_lagged_ar1,0.021052996431441318,659,0.037321711279999996,0.04929844353000004,0.064395610552,0.0939674795,362,158,37,10,0.5493171471927162
52,zero_prediction_floor,0.0,659,0.037329839700000006,0.050535955,0.0683981948,0.0699300148,359,171,0,0,0.5447647951441578
71,tail_loss,0.014817542038234932,659,0.037262908340000005,0.05042127566999999,0.064769370824,0.09083735000000001,365,169,32,4,0.5538694992412747
71,stressaux_w20,0.019627403401236698,659,0.036876397963999996,0.05008004421000002,0.06374997633280001,0.09279294390000001,357,167,28,3,0.5417298937784522
71,residual_oracle,0.21359589310392457,659,0.0322600606,0.03919384420000001,0.046548481240000016,0.0832702586,255,42,1,1,0.38694992412746587
71,residual_lagged_ar1,0.02842248843673767,659,0.03701256911700002,0.04967562379999999,0.06376565723800001,0.11694883639999999,368,159,29,11,0.5584218512898331
71,zero_prediction_floor,0.0,659,0.037329839700000006,0.050535955,0.0683981948,0.0699300148,359,171,0,0,0.5447647951441578
