candidate,rel_score_mean,rel_score_std,q90_abs_error_mean,daily_q90_abs_error_q90_mean,daily_q90_abs_error_max_mean,spike_days_ge_7pct_mean,spike_days_ge_8pct_mean,prediction_actual_abs_q90_ratio_mean,directional_accuracy_mean
tailstress,0.026701727739631267,0.00783686971881453,0.04832790513333333,0.06286075983599997,0.1055606731333333,28.666666666666668,11.0,0.16954873499771206,0.5021995104848845
conservative_mean_positive_gap,0.026123667363919398,0.008731037150722605,0.048365730333333336,0.063189931468,0.09476720329999999,24.0,8.0,0.1607530857886957,0.5017915812220238
gate_tailstress_abs,0.026056926166078267,0.007088092967336362,0.048195675588666664,0.063114773536,0.10624762706666661,29.0,11.666666666666666,0.18412830512482573,0.5021664351392472
simplex_tail,0.025217343509807134,0.010772692721603885,0.04854954117083333,0.06420186557441067,0.10120429349933334,34.333333333333336,9.0,0.14652851862790292,0.5064055919384357
gate_disagreement,0.0250158447918938,0.007132200193357657,0.04825234479666666,0.06306360411146666,0.1055606731333333,29.0,11.333333333333334,0.17648477657757855,0.500948159908271
simplex_rel,0.024114818319092967,0.01050409253419792,0.048665985124,0.06364880374273334,0.09893470641333334,31.0,7.0,0.1413943403266096,0.5072214504641573
gate_mean_positive_gap,0.024045193957733097,0.007670590356943003,0.04839955986333333,0.06376360999333335,0.10761987366666664,36.0,10.333333333333334,0.17669443959309428,0.5051101409009724
conservative_disagreement,0.023630435164727865,0.006990988810489865,0.04850415105333333,0.06393343387226663,0.09868899913333333,31.0,8.0,0.1676288940996673,0.5049943771912416
conservative_tailstress_abs,0.023436910982850636,0.008938372117234559,0.04859933487666667,0.06379429976533334,0.09868899913333333,29.0,7.666666666666667,0.15348223066431796,0.5014994156688938
tail_loss,0.022709022639008602,0.006887899844101281,0.048456561290666667,0.06398574504293332,0.09868899913333333,31.333333333333332,8.0,0.16992294714000067,0.5028003792639634
weighted,0.020214839715378765,0.014185123063560129,0.048797298255,0.06457585008933332,0.10229160883333333,42.0,9.0,0.12969245782960817,0.49915106612864096
base,0.0166737293420493,0.0011189642961843592,0.049262086653333335,0.06562696013399998,0.09506224306333329,40.333333333333336,13.0,0.13378830942844797,0.49819188110515755
tailstress_past,0.012368560338762333,0.008961824907916279,0.04924411023333333,0.06534055206666667,0.09261311019999996,32.0,4.666666666666667,0.11034548002345444,0.4934565941214086
instance,0.006499754935279867,0.0022322866357511978,0.049965669096666665,0.06598358179026666,0.08447005473333334,36.0,2.0,0.11488052826027721,0.49325262948997817
