seed,candidate,reference,delta_rel_score,delta_q90_abs_error,delta_daily_q90_abs_error_q90,delta_daily_q90_abs_error_max,delta_spike_days_ge_7pct,delta_spike_days_ge_8pct
43,base,base,0.0,0.0,0.0,0.0,0,0
43,base,tail_loss,-0.008607452264961103,0.0008165286799999977,0.0009175798040000072,-0.0064585463099999935,2,3
43,weighted,base,0.0124950181025444,-0.0008678186800000001,-0.00037024601200000284,0.011466762310000003,1,-4
43,weighted,tail_loss,0.003887565837583297,-5.1290000000002445e-05,0.0005473337920000043,0.00500821600000001,3,-1
43,instance,base,-0.012712098376926297,0.0009285748600000032,0.0007394290275999915,-0.011779355690000007,-3,-12
43,instance,tail_loss,-0.0213195506418874,0.001745103540000001,0.0016570088315999987,-0.018237902,-1,-9
43,tail_loss,base,0.008607452264961103,-0.0008165286799999977,-0.0009175798040000072,0.0064585463099999935,-2,-3
43,tail_loss,tail_loss,0.0,0.0,0.0,0.0,0,0
43,tailstress,base,0.009329157196430203,-0.0008710634299999992,-0.0023249970880001025,0.011880921809999903,-5,0
43,tailstress,tail_loss,0.0007217049314690999,-5.453475000000152e-05,-0.0014074172840000954,0.00542237549999991,-3,3
43,tailstress_past,base,-0.010273000597857398,0.00032730292000000133,-0.0001698190439999997,-0.009999084290000002,-4,-8
43,tailstress_past,tail_loss,-0.018880452862818503,0.001143831599999999,0.0007477607600000075,-0.016457630599999995,-2,-5
43,simplex_rel,base,0.010991428501015001,-0.0009142822519999996,-0.0011910656792000068,0.00769953210999999,-4,-4
43,simplex_rel,tail_loss,0.002383976236053898,-9.775357200000195e-05,-0.00027348587519999967,0.0012409857999999968,-2,-1
43,simplex_tail,base,0.008607452264961103,-0.0008165286799999977,-0.0009175798040000072,0.0064585463099999935,-2,-3
43,simplex_tail,tail_loss,0.0,0.0,0.0,0.0,0,0
43,gate_disagreement,base,0.008630582153723,-0.00090380038,-0.0015200294319999974,0.011880921809999903,-6,1
43,gate_disagreement,tail_loss,2.3129888761897616e-05,-8.727170000000228e-05,-0.0006024496279999902,0.00542237549999991,-4,4
43,conservative_disagreement,base,0.0085004118891259,-0.0007821237199999997,-0.0005839504912001081,0.0064585463099999935,-2,-3
43,conservative_disagreement,tail_loss,-0.00010704037583520246,3.440495999999793e-05,0.00033362931279989905,0.0,0,0
43,gate_tailstress_abs,base,0.0111164586900966,-0.0010023787299999962,-0.0012704541520000001,0.011880921809999903,-7,1
43,gate_tailstress_abs,tail_loss,0.0025090064251354974,-0.0001858500499999985,-0.00035287434799999295,0.00542237549999991,-5,4
43,conservative_tailstress_abs,base,0.0080794973971622,-0.0007059603499999997,-0.0011321169719999968,0.0064585463099999935,0,-3
43,conservative_tailstress_abs,tail_loss,-0.0005279548677989028,0.00011056832999999794,-0.00021453716799998968,0.0,2,0
43,gate_mean_positive_gap,base,0.0121793743874123,-0.0011128264800000023,-0.0013941623320000013,0.011880921809999903,1,-1
43,gate_mean_positive_gap,tail_loss,0.0035719221224511967,-0.00029629780000000466,-0.0004765825279999941,0.00542237549999991,3,2
43,conservative_mean_positive_gap,base,0.006197236798552001,-0.0005792620199999987,-0.0011858935840000084,0.0064585463099999935,-7,-4
43,conservative_mean_positive_gap,tail_loss,-0.0024102154664091026,0.00023726665999999896,-0.0002683137800000013,0.0,-5,-1
52,base,base,0.0,0.0,0.0,0.0,0,0
52,base,tail_loss,-0.012123047012386999,0.0014540016980000015,0.002717810267200013,-0.0089209279,13,0
52,weighted,base,0.011664700533257698,-0.0009936639550000015,-0.001957006696000005,0.025640484000000005,3,8
52,weighted,tail_loss,-0.00045834647912930057,0.00046033774299999997,0.0007608035712000083,0.016719556100000005,16,8
52,instance,base,-0.0092624198723638,0.0005526008199999988,0.000848050113199994,-0.010809314899999992,-1,-8
52,instance,tail_loss,-0.0213854668847508,0.0020066025180000002,0.003565860380400007,-0.019730242799999992,12,-8
